Depth (m),Temperature ( C),Salinity (PSU),Density (kg/m^3),PAR/Irradiance (uE/m^2/s,Fluorescence (mg/m^3),Turbidity (NTU),Beam (1/m),Oxygen (umol/kg),Oxygen (%sat)
0.922,14.9214,31.4994,23.2915,1.4572e+03,1.1269,0.002,7.6308,214.144,84.22657
0.914,14.9202,31.4981,23.2908,1.2990e+03,1.1308,0.002,7.6351,213.931,84.13995
0.91,14.9227,31.4983,23.2904,1.5732e+03,1.1384,0.0019,7.6425,213.632,84.02642
0.905,14.9205,31.499,23.2914,1.2340e+03,1.1292,0.0019,7.6454,213.77,84.07767
0.903,14.9226,31.4965,23.2891,1.5591e+03,1.0903,0.002,7.6506,214.199,84.2483
0.908,14.927,31.4974,23.2888,1.5074e+03,1.0903,0.002,7.6494,214.823,84.5019
0.917,14.9242,31.4992,23.2908,1.3761e+03,1.0903,0.0019,7.6459,215.216,84.65264
0.923,14.9254,31.4977,23.2894,1.2813e+03,1.0903,0.0019,7.6467,215.199,84.64727
0.919,14.9176,31.5003,23.2931,1.3332e+03,1.114,0.0019,7.6475,215.185,84.6298
0.911,14.9219,31.4975,23.29,1.3576e+03,1.1147,0.0019,7.6429,215.327,84.69127
0.903,14.9193,31.4995,23.2921,1.5638e+03,1.0949,0.0019,7.6405,215.612,84.80045
0.91,14.922,31.4986,23.2908,1.3811e+03,1.0903,0.0019,7.6317,215.739,84.85415
0.927,14.9262,31.4954,23.2875,1.2026e+03,1.0819,0.0019,7.6309,215.625,84.81445
0.925,14.9343,31.4951,23.2855,1.6027e+03,1.0789,0.0018,7.6299,215.254,84.68225
0.913,14.935,31.4972,23.287,1.2759e+03,1.085,0.0019,7.6393,215.054,84.60595
0.906,14.9346,31.4988,23.2883,1.6744e+03,1.0903,0.0019,7.6414,214.64,84.4431
0.902,14.9212,31.5016,23.2933,1.4853e+03,1.0964,0.0019,7.6425,214.485,84.36156
0.909,14.9213,31.4979,23.2904,1.2739e+03,1.1033,0.0019,7.6444,214.452,84.34636
0.921,14.9331,31.4938,23.2848,1.7225e+03,1.1025,0.002,7.6461,213.554,84.01073
0.919,14.945,31.4954,23.2835,1.4644e+03,1.1025,0.002,7.6421,211.974,83.40949
0.908,14.938,31.4978,23.2868,1.5843e+03,1.1025,0.002,7.6417,211.044,83.03364
0.908,14.9421,31.4959,23.2845,1.3332e+03,1.1033,0.002,7.6431,211.465,83.20477
0.915,14.9514,31.4941,23.2811,1.4716e+03,1.1041,0.002,7.6467,212.582,83.6587
0.912,14.9536,31.4963,23.2823,1.4351e+03,1.1269,0.002,7.6502,213.772,84.13208
0.91,14.9357,31.5017,23.2903,1.3580e+03,1.1269,0.002,7.6492,214.155,84.25594
0.915,14.9481,31.4919,23.2801,1.6522e+03,1.1834,0.0019,7.649,214.343,84.34492
0.914,14.9547,31.4958,23.2817,1.4729e+03,1.188,0.0019,7.6521,214.589,84.45527
0.91,14.9438,31.5003,23.2874,1.5768e+03,1.1391,0.0019,7.6506,214.94,84.57784
0.912,14.9371,31.4988,23.2878,1.4283e+03,1.1269,0.0019,7.6485,214.94,84.56542
0.91,14.9419,31.4976,23.2858,1.3775e+03,1.1269,0.0019,7.6441,213.926,84.17385
0.922,14.9324,31.5007,23.2902,1.5768e+03,1.1269,0.002,7.6432,211.816,83.32956
0.977,14.9408,31.4967,23.2853,1.7395e+03,1.1536,0.002,7.6535,210.1,82.66624
1.039,14.9366,31.5002,23.2889,1.2217e+03,1.1758,0.0019,7.6596,209.474,82.4147
1.093,14.9293,31.5011,23.2912,1.2847e+03,1.1926,0.0019,7.6674,209.921,82.57931
1.151,14.9145,31.505,23.2973,1.1810e+03,1.2116,0.0019,7.6675,211.684,83.25077
1.21,14.9018,31.5044,23.2996,1.1765e+03,1.2124,0.0019,7.6698,212.924,83.71701
1.257,14.8916,31.5041,23.3015,1.0928e+03,1.2124,0.002,7.6944,213.915,84.08925
1.31,14.8817,31.5059,23.305,1.0730e+03,1.2147,0.0019,7.6999,214.626,84.35328
