Depth (m),Temperature ( C),Salinity (PSU),Density (kg/m^3),PAR/Irradiance (uE/m^2/s,Fluorescence (mg/m^3),Turbidity (NTU),Beam (1/m),Oxygen (umol/kg),Oxygen (%sat)
1.366,14.8586,31.5095,23.3127,1.0438e+03,1.2246,0.0018,7.7091,214.9,84.42412
1.429,14.8371,31.5106,23.3181,1.0655e+03,1.236,0.0018,7.7142,215.4,84.5852
1.491,14.8102,31.5146,23.3269,9.6547e+02,1.3589,0.002,7.7168,215.588,84.61613
1.544,14.7782,31.5201,23.3378,9.7553e+02,1.3581,0.002,7.729,216.054,84.74825
1.586,14.751,31.5203,23.3438,9.6343e+02,1.3932,0.002,7.7371,216.62,84.92431
1.633,14.7351,31.5231,23.3493,9.2430e+02,1.3947,0.002,7.7537,216.486,84.84664
1.695,14.7036,31.5251,23.3575,8.9710e+02,1.4558,0.002,7.7561,214.485,84.01053
1.759,14.6921,31.5226,23.3579,8.2905e+02,1.468,0.002,7.7574,211.101,82.66489
1.817,14.6937,31.5197,23.3554,7.8607e+02,1.5107,0.0021,7.7697,208.445,81.62585
1.865,14.685,31.5222,23.3591,7.5547e+02,1.529,0.0021,7.772,207.344,81.18211
1.917,14.6967,31.5163,23.3521,7.3647e+02,1.571,0.0021,7.7784,207.307,81.18319
1.972,14.6894,31.5209,23.3572,7.1179e+02,1.6015,0.0021,7.797,207.997,81.44411
2.032,14.6893,31.5195,23.3562,6.7774e+02,1.6351,0.0021,7.8089,208.033,81.45694
2.093,14.682,31.5204,23.3584,6.9096e+02,1.6747,0.0022,7.8019,206.604,80.88633
2.154,14.6842,31.5187,23.3566,6.6476e+02,1.7053,0.0022,7.8065,204.782,80.17573
2.213,14.6855,31.5181,23.3559,6.7619e+02,1.7686,0.0023,7.8214,203.764,79.77888
2.264,14.6838,31.5187,23.3567,6.3855e+02,1.7854,0.0023,7.8285,205.088,80.29458
2.311,14.6858,31.5186,23.3563,6.0417e+02,1.8548,0.0022,7.8338,207.876,81.38963
2.364,14.6744,31.5213,23.3607,5.8341e+02,1.8571,0.0022,7.8457,210.242,82.29848
2.427,14.6676,31.522,23.3627,5.6217e+02,1.8922,0.0023,7.8482,210.214,82.27711
2.496,14.6649,31.5207,23.3622,5.4803e+02,1.8914,0.0023,7.8497,208.8,81.71837
2.559,14.6615,31.521,23.3632,5.4200e+02,2.0204,0.0022,7.8455,208.53,81.6073
2.608,14.658,31.522,23.3647,5.0931e+02,2.028,0.0022,7.8406,209.611,82.02515
2.657,14.6523,31.5224,23.3662,5.0646e+02,2.1287,0.0022,7.8326,211.832,82.88528
2.715,14.6428,31.5243,23.3697,4.8138e+02,2.1508,0.0022,7.8337,213.841,83.65656
2.775,14.636,31.5236,23.3706,4.6886e+02,2.1943,0.0023,7.8504,214.906,84.06141
2.835,14.6356,31.5226,23.3699,4.6102e+02,2.2126,0.0024,7.8545,215.767,84.39693
2.899,14.6339,31.523,23.3705,4.3865e+02,2.2965,0.0023,7.8588,216.025,84.49508
2.965,14.6353,31.5206,23.3684,4.3428e+02,2.3606,0.0022,7.8281,215.66,84.35328
3.016,14.6367,31.5219,23.3691,4.2291e+02,2.4041,0.0023,7.8213,214.511,83.90686
3.057,14.637,31.5208,23.3682,4.1365e+02,2.4591,0.0023,7.8342,213.103,83.35602
3.112,14.6376,31.5211,23.3683,4.0324e+02,2.485,0.0023,7.8216,212.529,83.13286
3.184,14.6342,31.5222,23.3698,3.8348e+02,2.5415,0.0022,7.8042,213.059,83.33518
3.259,14.6332,31.5216,23.3696,3.7278e+02,2.5552,0.0022,7.803,214.394,83.85522
3.319,14.6338,31.521,23.369,3.5877e+02,2.6147,0.0023,7.8028,215.386,84.2439
3.366,14.6339,31.5213,23.3692,3.4919e+02,2.6216,0.0023,7.814,215.74,84.38267
3.412,14.6305,31.5226,23.3709,3.4119e+02,2.7375,0.002,7.8073,215.11,84.13115
3.478,14.6253,31.5225,23.372,3.2969e+02,2.7375,0.002,7.7942,213.314,83.42032
3.543,14.6261,31.5214,23.371,3.1825e+02,2.7482,0.0025,7.7831,212.168,82.97274
3.605,14.6252,31.5225,23.372,3.0688e+02,2.749,0.0025,7.7789,212.4,83.06266
3.661,14.6236,31.5218,23.3718,3.0080e+02,2.7879,0.0027,7.7902,214.503,83.88184
3.723,14.6226,31.5224,23.3725,2.9174e+02,2.7986,0.0028,7.7926,216.781,84.77112
3.787,14.6143,31.5247,23.376,2.8092e+02,2.8146,0.0024,7.7956,217.105,84.88551
3.848,14.6106,31.5235,23.3758,2.7275e+02,2.823,0.0023,7.7792,215.12,84.10214
3.903,14.6083,31.5244,23.3771,2.6477e+02,2.7627,0.0022,7.7697,213.212,83.3529
3.961,14.6035,31.5251,23.3786,2.5567e+02,2.7131,0.0022,7.7766,212.845,83.20215
4.041,14.6011,31.5245,23.3786,2.4653e+02,2.723,0.0021,7.7767,213.773,83.5604
4.131,14.5998,31.5247,23.379,2.3552e+02,2.7368,0.002,7.7755,215.254,84.13738
4.211,14.5987,31.5245,23.3791,2.2579e+02,2.7124,0.002,7.7866,216.14,84.48163
4.295,14.598,31.5244,23.3792,2.1620e+02,2.6628,0.0021,7.793,216.045,84.44317
4.397,14.5958,31.525,23.3801,2.0611e+02,2.6483,0.0021,7.7583,215.359,84.17185
4.51,14.5874,31.5281,23.3843,1.9408e+02,2.5903,0.0022,7.7597,214.305,83.74746
4.616,14.5791,31.5283,23.3862,1.8315e+02,2.5865,0.0022,7.768,213.214,83.30758
4.718,14.5687,31.5302,23.3898,1.7481e+02,2.5415,0.0023,7.7373,212.851,83.14942
4.843,14.568,31.5279,23.3882,1.6505e+02,2.5415,0.0023,7.716,213.316,83.32871
4.999,14.5671,31.5286,23.3889,1.5301e+02,2.4629,0.0024,7.7216,214.159,83.65687
5.165,14.5642,31.5286,23.3896,1.4050e+02,2.4598,0.0024,7.7286,214.996,83.97885
5.319,14.5627,31.5287,23.3899,1.2995e+02,2.3477,0.0025,7.7489,215.212,84.06081
5.47,14.556,31.5316,23.3936,1.2102e+02,2.324,0.0025,7.7416,214.549,83.79251
5.66,14.5321,31.5413,23.406,1.1072e+02,2.35,0.0025,7.734,213.564,83.37362
5.88,14.5026,31.5428,23.4134,9.9632e+01,2.3614,0.0025,7.7271,213.392,83.25816
6.101,14.4792,31.5441,23.4193,8.9404e+01,2.2973,0.0027,7.723,213.852,83.39911
6.307,14.4752,31.544,23.42,8.1132e+01,2.2492,0.0028,7.7098,214.454,83.62714
6.519,14.4603,31.5467,23.4252,7.3651e+01,2.2279,0.0029,7.721,215.105,83.85775
6.756,14.4301,31.5539,23.4371,6.6087e+01,2.2004,0.0031,7.7323,215.28,83.87945
7,14.4293,31.5487,23.4332,5.9007e+01,2.2088,0.003,7.7296,215.175,83.83395
7.243,14.4242,31.5493,23.4347,5.2889e+01,2.2248,0.0028,7.7287,215.031,83.76952
7.491,14.4101,31.5545,23.4417,4.7505e+01,2.2088,0.0028,7.7271,215.435,83.9064
7.758,14.3968,31.5537,23.4439,4.2361e+01,2.1394,0.0025,7.7239,216.449,84.27859
8.033,14.3891,31.5552,23.4466,3.7527e+01,2.1356,0.0025,7.7202,217.768,84.77986
8.288,14.387,31.5525,23.445,3.3574e+01,2.0898,0.0025,7.7008,219.898,85.60407
8.522,14.3857,31.5537,23.4462,3.0398e+01,2.0898,0.0025,7.6933,221.892,86.37866
8.769,14.3673,31.561,23.4556,2.7511e+01,2.1699,0.0026,7.6843,223.717,87.06133
9.04,14.3503,31.5608,23.459,2.4576e+01,2.176,0.0026,7.6916,224.602,87.37572
9.315,14.3396,31.563,23.4629,2.1805e+01,2.1562,0.0026,7.7024,223.641,86.98463
9.577,14.3375,31.5592,23.4604,1.9538e+01,2.1516,0.0026,7.6781,222.732,86.62512
9.828,14.3151,31.5693,23.4729,1.7621e+01,2.1424,0.0025,7.6684,222.824,86.62776
10.077,14.2831,31.5726,23.482,1.5871e+01,2.1386,0.0025,7.6624,223.576,86.8665
10.339,14.269,31.5722,23.4847,1.4278e+01,2.1867,0.0026,7.6588,224.437,87.17612
10.601,14.2663,31.57,23.4836,1.2845e+01,2.2248,0.0026,7.6506,224.68,87.26441
10.857,14.2597,31.571,23.4857,1.1589e+01,2.1928,0.0027,7.6491,225.099,87.4161
11.121,14.2597,31.5693,23.4844,1.0465e+01,2.1508,0.0028,7.6482,225.837,87.70179
11.392,14.2599,31.5687,23.4839,9.3932e+00,2.147,0.0027,7.6292,226.102,87.80478
11.664,14.2588,31.569,23.4844,8.4020e+00,2.1386,0.0024,7.6328,225.998,87.76244
11.921,14.2584,31.569,23.4845,7.5734e+00,2.1394,0.0024,7.6417,225.594,87.60498
12.174,14.2398,31.5757,23.4935,6.8548e+00,2.1386,0.0025,7.6582,225.31,87.46601
12.432,14.229,31.5743,23.4947,6.1881e+00,2.1394,0.0025,7.6686,225.083,87.35796
12.706,14.2255,31.5735,23.4947,5.5793e+00,2.1508,0.0028,7.6504,224.964,87.30544
12.98,14.2193,31.5759,23.4979,4.9963e+00,2.1508,0.0028,7.6467,224.917,87.27754
13.246,14.2112,31.5765,23.5,4.4853e+00,2.1279,0.0027,7.6398,225.418,87.45797
13.509,14.2066,31.5744,23.4994,4.0510e+00,2.1264,0.0027,7.6451,225.95,87.65528
13.769,14.2114,31.5737,23.4978,3.6657e+00,2.2233,0.003,7.6482,226.477,87.86771
14.029,14.2037,31.5761,23.5013,3.2977e+00,2.25,0.0031,7.6612,226.47,87.85293
14.292,14.2017,31.5756,23.5013,2.9776e+00,2.2172,0.0026,7.6597,226.044,87.68365
14.562,14.1956,31.5763,23.5031,2.6847e+00,2.2004,0.0024,7.6475,225.214,87.35133
14.837,14.1878,31.5806,23.508,2.4013e+00,2.1737,0.0028,7.6685,223.81,86.79582
15.11,14.1797,31.579,23.5084,2.1629e+00,2.1508,0.0031,7.6894,223.048,86.48528
15.374,14.1725,31.5811,23.5116,1.9481e+00,2.1508,0.0029,7.6843,223.231,86.54498
15.629,14.1705,31.5791,23.5105,1.7533e+00,2.1508,0.0027,7.6841,223.739,86.73724
15.882,14.1584,31.5833,23.5162,1.5913e+00,2.1546,0.0027,7.6864,224.31,86.93984
16.148,14.1451,31.5855,23.5207,1.4259e+00,2.1638,0.0028,7.6907,224.947,87.16501
16.435,14.1441,31.5822,23.5183,1.2679e+00,2.1615,0.0028,7.6947,225.468,87.36277
16.72,14.1437,31.5825,23.5186,1.1252e+00,2.1516,0.0026,7.6995,225.36,87.32077
16.989,14.1422,31.5826,23.519,1.0060e+00,2.1523,0.0026,7.7002,225.212,87.26072
17.249,14.1393,31.5826,23.5196,9.0889e-01,2.2012,0.0028,7.6976,224.955,87.1563
17.512,14.1415,31.5811,23.518,8.0440e-01,2.2004,0.0028,7.6928,225.089,87.21087
17.801,14.1359,31.5849,23.5221,7.2105e-01,2.1783,0.0031,7.6861,225.669,87.42805
18.095,14.1242,31.5864,23.5257,6.3570e-01,2.176,0.0032,7.6826,226.295,87.65071
18.375,14.1216,31.5834,23.5239,5.5583e-01,2.1661,0.0028,7.6812,226.651,87.78254
18.651,14.124,31.5854,23.525,4.9539e-01,2.163,0.0027,7.6849,225.817,87.46484
18.922,14.1194,31.5852,23.5258,4.4833e-01,2.1874,0.0028,7.6851,224.622,86.99362
19.185,14.1054,31.5905,23.5327,3.9156e-01,2.2004,0.0028,7.6856,223.324,86.46997
19.448,14.0993,31.5875,23.5317,3.4783e-01,2.2065,0.0027,7.686,222.312,86.06565
19.71,14.0871,31.5932,23.5386,3.0414e-01,2.2126,0.0026,7.6865,221.569,85.76025
19.967,14.0618,31.5977,23.5472,2.7529e-01,2.2172,0.0026,7.677,221.407,85.65666
20.209,14.0437,31.5985,23.5515,2.4485e-01,2.2248,0.0026,7.6795,221.997,85.85403
20.438,14.0283,31.6024,23.5577,2.1806e-01,2.2286,0.0026,7.6845,223.617,86.45603
20.658,13.9968,31.6091,23.5693,1.9531e-01,2.237,0.0027,7.6749,225.368,87.08156
20.888,13.9757,31.608,23.5728,1.7237e-01,2.234,0.0027,7.6683,226.428,87.45336
21.122,13.9641,31.6078,23.575,1.5250e-01,2.2126,0.0026,7.6628,227.434,87.82144
21.349,13.9585,31.6086,23.5768,1.3690e-01,2.2134,0.0026,7.6557,228.664,88.28678
21.577,13.9378,31.6127,23.5842,1.1721e-01,2.3484,0.0026,7.6367,230.417,88.92904
21.807,13.9344,31.6092,23.5821,1.0177e-01,2.3484,0.0026,7.617,231.724,89.42498
22.042,13.9373,31.608,23.5806,8.1053e-02,2.3057,0.0025,7.604,232.124,89.58394
22.27,13.9355,31.6082,23.5812,7.4972e-02,2.2996,0.0024,7.5875,232.036,89.54691
22.493,13.9345,31.6081,23.5813,6.1896e-02,2.2523,0.0025,7.5762,231.645,89.39402
22.72,13.935,31.6074,23.5807,5.0026e-02,2.237,0.0025,7.5455,231.35,89.28058
22.956,13.9377,31.6062,23.5792,4.4147e-02,2.2683,0.0024,7.5354,231.092,89.18504
23.188,13.9382,31.6068,23.5795,3.8315e-02,2.2874,0.0024,7.5259,230.86,89.09679
23.412,13.9321,31.6091,23.5826,3.0552e-02,2.2744,0.0026,7.5102,230.779,89.05619
23.636,13.9277,31.6084,23.583,2.1947e-02,2.2622,0.0027,7.5065,230.856,89.0775
23.867,13.9344,31.6054,23.5793,1.5130e-02,2.2714,0.0026,7.5003,230.81,89.06986
24.098,13.9326,31.6065,23.5805,9.2977e-03,2.2874,0.0024,7.5018,230.935,89.11546
24.323,13.9317,31.6078,23.5817,9.4272e-03,2.2904,0.0024,7.5031,231.063,89.16404
24.549,13.9387,31.6035,23.577,2.4661e-03,2.2996,0.0022,7.5026,231.202,89.22781
24.784,13.9414,31.6049,23.5775,2.4322e-05,2.295,0.0022,7.5009,231.395,89.30801
25.019,13.9398,31.6056,23.5784,7.4620e-06,2.2622,0.0024,7.4851,231.488,89.3414
25.243,13.938,31.6058,23.5789,7.4620e-06,2.2622,0.0024,7.4662,231.711,89.42443
25.468,13.9369,31.6058,23.5791,7.4620e-06,2.2492,0.0023,7.4429,231.723,89.4268
25.694,13.9361,31.6057,23.5792,7.4620e-06,2.25,0.0023,7.4637,231.769,89.44332
25.928,13.936,31.6055,23.5791,7.4620e-06,2.2492,0.0024,7.473,231.893,89.4906
26.155,13.9366,31.6053,23.5788,1.0000e-12,2.25,0.0025,7.4997,231.821,89.46417
26.372,13.9373,31.6049,23.5784,7.4620e-06,2.25,0.0023,7.505,231.602,89.38052
26.589,13.9389,31.6049,23.5781,7.4620e-06,2.25,0.0023,7.5128,231.475,89.33416
26.809,13.9378,31.6054,23.5787,7.4620e-06,2.266,0.0023,7.4957,231.383,89.29727
27.028,13.9369,31.6052,23.5787,7.4620e-06,2.2759,0.0022,7.4887,231.407,89.30472
27.253,13.9353,31.6057,23.5794,1.0000e-12,2.2508,0.0023,7.4725,231.529,89.34927
27.474,13.934,31.6059,23.5798,7.4620e-06,2.2256,0.0024,7.4723,231.454,89.31781
27.693,13.9354,31.6047,23.5786,7.4620e-06,2.2622,0.0023,7.4723,231.288,89.25562
27.914,13.9365,31.6049,23.5786,1.0000e-12,2.3248,0.0023,7.4651,231.188,89.21941
28.137,13.9352,31.6055,23.5793,1.0000e-12,2.3011,0.0022,7.4616,231.25,89.24105
28.363,13.9317,31.6064,23.5807,1.0000e-12,2.2256,0.0021,7.4559,231.57,89.35882
28.585,13.9289,31.6065,23.5814,1.0000e-12,2.2309,0.0021,7.4577,231.935,89.49475
28.804,13.9286,31.6055,23.5807,1.0000e-12,2.2744,0.002,7.4612,232.075,89.54777
29.024,13.9301,31.6054,23.5803,7.4620e-06,2.2744,0.002,7.4648,232.024,89.53065
29.248,13.9224,31.6087,23.5844,1.0000e-12,2.2622,0.0023,7.467,231.823,89.4412
29.467,13.919,31.6074,23.5841,1.0000e-12,2.2622,0.0023,7.4458,231.742,89.40285
29.691,13.9203,31.6064,23.5831,1.0000e-12,2.1874,0.0021,7.4432,231.874,89.45544
29.917,13.9191,31.6073,23.584,7.4620e-06,2.1768,0.002,7.4413,232.06,89.52582
30.141,13.9155,31.6075,23.585,1.0000e-12,2.2134,0.002,7.4378,232.219,89.58063
30.361,13.9156,31.607,23.5846,1.0000e-12,2.2256,0.002,7.4351,232.329,89.62305
30.58,13.9156,31.607,23.5845,7.4620e-06,2.2408,0.0022,7.4068,232.227,89.5837
30.806,13.9168,31.6067,23.584,1.0000e-12,2.2508,0.0023,7.4006,232.142,89.55316
31.032,13.9154,31.607,23.5846,7.4620e-06,2.25,0.0021,7.3932,232.14,89.54982
31.25,13.912,31.608,23.5861,1.0000e-12,2.25,0.002,7.393,232.167,89.5547
31.474,13.9116,31.6075,23.5858,1.0000e-12,2.25,0.002,7.3925,232.135,89.54141
31.701,13.9074,31.609,23.5878,1.0000e-12,2.25,0.002,7.3938,232.076,89.51189
31.925,13.9059,31.6075,23.587,1.0000e-12,2.2386,0.0021,7.3941,231.969,89.46715
32.142,13.9052,31.6094,23.5885,1.0000e-12,2.2012,0.0023,7.3892,232.004,89.48024
32.361,13.8999,31.6097,23.5899,1.0000e-12,2.2019,0.0023,7.3893,232.148,89.52653
32.585,13.8986,31.609,23.5896,1.0000e-12,2.2134,0.0021,7.3901,232.182,89.53692
32.815,13.8972,31.6093,23.5901,7.4620e-06,2.2134,0.0021,7.3727,232.208,89.54452
33.034,13.8944,31.61,23.5912,1.0000e-12,2.237,0.002,7.367,232.17,89.52525
33.255,13.8929,31.6098,23.5914,1.0000e-12,2.2378,0.002,7.363,232.198,89.53321
33.479,13.8853,31.6133,23.5956,7.4620e-06,2.2592,0.002,7.3667,232.19,89.51834
33.704,13.8771,31.6122,23.5965,1.0000e-12,2.2622,0.002,7.3728,232.331,89.55717
33.924,13.8737,31.6125,23.5974,1.0000e-12,2.2172,0.0021,7.3714,232.503,89.61771
34.15,13.8729,31.6123,23.5974,1.0000e-12,2.2012,0.0021,7.3705,232.58,89.64563
34.374,13.8734,31.6118,23.5969,1.0000e-12,2.2454,0.002,7.3663,232.53,89.62737
34.598,13.8647,31.6159,23.6018,1.0000e-12,2.2752,0.002,7.3689,232.402,89.56436
34.816,13.8561,31.6148,23.6027,1.0000e-12,2.2218,0.0021,7.3745,232.275,89.49936
35.039,13.8523,31.6151,23.6038,1.0000e-12,2.1638,0.0021,7.3754,232.224,89.47302
35.262,13.8527,31.6144,23.6031,1.0000e-12,2.1943,0.0022,7.3761,232.126,89.43555
35.485,13.8463,31.6178,23.607,1.0000e-12,2.25,0.0023,7.3841,231.947,89.35713
35.713,13.8378,31.6165,23.6078,1.0000e-12,2.2393,0.0023,7.3874,231.799,89.28416
35.936,13.8368,31.6159,23.6075,1.0000e-12,2.2012,0.002,7.3943,231.628,89.21609
36.076,13.8383,31.6157,23.607,1.0000e-12,2.1989,0.002,7.402,231.489,89.16515
36.077,13.8379,31.6154,23.607,1.0000e-12,2.1752,0.0022,7.4075,231.475,89.15865
36.08,13.8376,31.6156,23.6072,1.0000e-12,2.176,0.0022,7.4036,231.232,89.06451
36.079,13.8349,31.6162,23.6081,1.0000e-12,2.308,0.002,7.4039,230.876,88.92286
36.078,13.8372,31.6143,23.6062,1.0000e-12,2.3126,0.0019,7.4078,230.72,88.86579
36.08,13.836,31.6156,23.6075,1.0000e-12,2.3644,0.0018,7.4043,230.595,88.8164
36.086,13.838,31.6146,23.6063,1.0000e-12,2.3736,0.0018,7.4014,230.754,88.88072
36.087,13.8381,31.6151,23.6067,7.4620e-06,2.4362,0.0018,7.3938,230.741,88.87603
36.084,13.8391,31.6145,23.606,1.0000e-12,2.4598,0.0017,7.3882,230.694,88.8595
36.08,13.8398,31.6147,23.606,1.0000e-12,2.4079,0.0017,7.3723,230.803,88.90293
36.084,13.8372,31.6157,23.6073,1.0000e-12,2.3736,0.0017,7.3822,230.923,88.94481
36.087,13.8383,31.6144,23.6061,1.0000e-12,2.3843,0.0017,7.3912,231.075,89.00474
36.088,13.8403,31.6141,23.6054,1.0000e-12,2.398,0.0017,7.3786,231.158,89.0401
36.088,13.8409,31.6142,23.6054,1.0000e-12,2.3225,0.0017,7.3757,231.115,89.0247
36.089,13.8402,31.6146,23.6058,1.0000e-12,2.176,0.0018,7.3742,230.94,88.95622
36.089,13.839,31.6148,23.6062,1.0000e-12,2.2019,0.0018,7.3775,230.684,88.85547
36.086,13.8398,31.6142,23.6056,1.0000e-12,2.2996,0.0019,7.3812,230.353,88.72908
36.087,13.8394,31.6145,23.606,1.0000e-12,2.2912,0.0019,7.3734,230.221,88.67767
36.091,13.8392,31.6141,23.6057,1.0000e-12,2.1997,0.0016,7.3719,230.25,88.68849
36.094,13.8388,31.6143,23.6059,1.0000e-12,2.2004,0.0016,7.376,230.653,88.84297
