Depth (m),Temperature ( C),Salinity (PSU),Density (kg/m^3),PAR/Irradiance (uE/m^2/s,Fluorescence (mg/m^3),Turbidity (NTU),Beam (1/m),Oxygen (umol/kg),Oxygen (%sat)
3.744,14.7327,31.6681,23.4616,4.2552e+02,0.6921,0.0003,6.8835,259.482,101.79514
3.987,14.6807,31.6633,23.4688,5.6109e+02,0.7104,0.0003,6.8836,260.004,101.89072
4.201,14.676,31.6522,23.4613,5.3830e+02,0.7783,0.0004,6.8856,260.514,102.0734
4.372,14.6873,31.6632,23.4674,6.9266e+02,0.789,0.0004,6.8965,260.866,102.24207
4.507,14.6893,31.6697,23.4719,5.6395e+02,0.9011,0.0003,6.8969,260.438,102.08289
4.659,14.6976,31.6689,23.4696,6.1347e+02,0.9003,0.0003,6.8975,259.711,101.81429
4.931,14.7603,31.6882,23.4712,6.0864e+02,0.9675,0.0003,6.9012,258.752,101.57852
5.275,14.7823,31.7374,23.5045,5.5833e+02,0.9698,0.0003,6.9044,258.368,101.50662
5.538,14.8003,31.7645,23.5215,5.3773e+02,1.0514,0.0004,6.9339,258.648,101.67204
5.673,14.7968,31.7766,23.5316,5.1164e+02,1.0667,0.0004,6.9368,259.343,101.94673
5.774,14.807,31.7762,23.5292,5.2181e+02,1.1185,0.0003,6.9414,259.697,102.10624
5.967,14.8119,31.7841,23.5342,4.8333e+02,1.1391,0.0003,6.9453,258.898,101.80782
6.264,14.7416,31.8297,23.5843,5.0824e+02,1.1536,0.0003,6.947,258.076,101.37456
6.554,14.6998,31.8184,23.5844,4.5227e+02,1.1643,0.0003,6.9413,258.055,101.27414
6.752,14.6928,31.8152,23.5834,4.0723e+02,1.2154,0.0003,6.9403,259.104,101.66926
6.904,14.6781,31.8175,23.5883,4.2039e+02,1.2734,0.0003,6.9375,260.728,102.27843
7.101,14.6512,31.8174,23.5939,3.8741e+02,1.3108,0.0003,6.9341,261.976,102.71235
7.329,14.6396,31.8167,23.5958,3.8166e+02,1.3833,0.0003,6.9318,262.223,102.78519
7.533,14.6357,31.8165,23.5964,3.6855e+02,1.4146,0.0003,6.9194,261.766,102.59775
7.715,14.6332,31.8162,23.5968,3.3678e+02,1.5283,0.0004,6.9231,261.543,102.5054
7.955,14.632,31.8154,23.5965,3.4925e+02,1.5389,0.0004,6.9342,261.806,102.60529
8.252,14.6328,31.8152,23.5961,3.2208e+02,1.6389,0.0003,6.9341,262.138,102.73697
8.498,14.6309,31.8157,23.5969,2.9390e+02,1.6381,0.0003,6.9338,262.236,102.7718
8.661,14.6274,31.8146,23.5968,2.9519e+02,1.7281,0.0003,6.9388,261.568,102.5022
8.819,14.6231,31.8171,23.5996,2.9015e+02,1.7312,0.0003,6.9367,261.184,102.34441
9.023,14.5547,31.8258,23.6207,2.7593e+02,1.8563,0.0003,6.9278,261.652,102.39423
9.269,14.5243,31.8164,23.6198,2.5801e+02,1.88,0.0003,6.9335,261.932,102.43469
9.53,14.4989,31.8147,23.6238,2.5481e+02,1.9593,0.0004,6.9371,261.881,102.36166
9.792,14.4448,31.8286,23.6459,2.4156e+02,1.9914,0.0004,6.9322,262.122,102.35526
10.025,14.3783,31.8303,23.661,2.2178e+02,2.0646,0.0004,6.9304,262.801,102.48494
10.208,14.2859,31.8455,23.692,2.1552e+02,2.115,0.0004,6.9288,263.696,102.6545
10.41,14.146,31.8528,23.7265,2.1150e+02,2.1546,0.0004,6.9277,264.431,102.65704
10.66,14.1095,31.8369,23.7218,2.0174e+02,2.2012,0.0004,6.9264,264.246,102.49816
10.899,14.1044,31.8367,23.7226,1.9017e+02,2.2592,0.0004,6.9126,263.773,102.3041
11.097,14.0986,31.836,23.7233,1.8289e+02,2.3736,0.0004,6.9057,263.552,102.2064
11.319,14.0929,31.8355,23.7241,1.7747e+02,2.3927,0.0004,6.8782,263.245,102.075
11.584,14.085,31.8413,23.7302,1.7041e+02,2.4598,0.0004,6.8656,262.898,101.92834
11.804,14.0311,31.8634,23.7583,1.6257e+02,2.4636,0.0004,6.8496,262.415,101.6462
11.913,14.0133,31.8675,23.7651,1.5629e+02,2.5056,0.0004,6.8438,261.784,101.3683
12.016,13.9978,31.8691,23.7695,1.5284e+02,2.5056,0.0004,6.8413,261.31,101.15429
12.236,13.9278,31.9032,23.8102,1.4845e+02,2.4743,0.0003,6.8322,261.03,100.92742
12.519,13.7869,31.9512,23.8759,1.4169e+02,2.4728,0.0003,6.8313,261.548,100.87378
12.754,13.6934,31.9673,23.9073,1.3361e+02,2.4995,0.0004,6.8289,262.192,100.94223
12.919,13.6577,31.9631,23.9112,1.2811e+02,2.5056,0.0004,6.8268,262.705,101.06344
13.056,13.65,31.958,23.9088,1.2548e+02,2.5399,0.0004,6.826,262.987,101.15227
13.218,13.6404,31.9592,23.9117,1.2162e+02,2.5544,0.0004,6.8318,263.136,101.1911
13.418,13.6146,31.9664,23.9225,1.1624e+02,2.5827,0.0004,6.8343,263.104,101.1306
13.646,13.4941,32.0182,23.9866,1.1087e+02,2.6033,0.0004,6.8375,263.023,100.88895
13.884,13.2666,32.1005,24.0956,1.0614e+02,2.6139,0.0003,6.8149,263.234,100.56077
14.104,13.1374,32.1251,24.14,1.0240e+02,2.6277,0.0003,6.8019,263.406,100.37817
14.305,13.108,32.1316,24.1509,9.8483e+01,2.6757,0.0003,6.8741,263.56,100.38091
14.511,13.0984,32.1315,24.1527,9.3586e+01,2.7749,0.0004,6.8609,264.099,100.56625
14.722,13.0949,32.1297,24.152,8.9231e+01,2.8047,0.0004,6.8219,264.772,100.81434
14.914,13.0881,32.1338,24.1565,8.5935e+01,2.9206,0.0003,6.8023,264.79,100.80986
15.084,13.0685,32.1424,24.167,8.3948e+01,2.9184,0.0003,6.7892,263.903,100.43806
15.252,13.0302,32.1584,24.1869,8.1275e+01,2.884,0.0003,6.7658,262.521,99.84479
15.46,12.998,32.1796,24.2096,7.7655e+01,2.8848,0.0003,6.7647,261.492,99.40274
15.684,12.9648,32.2056,24.2362,7.3819e+01,2.8031,0.0003,6.7708,261.457,99.33949
15.883,12.9323,32.2204,24.254,7.1080e+01,2.7986,0.0003,6.7645,262.092,99.52475
16.045,12.913,32.2308,24.2658,6.9265e+01,2.6979,0.0003,6.7593,262.499,99.64705
16.213,12.909,32.2381,24.2723,6.7544e+01,2.6757,0.0003,6.7477,262.692,99.71724
16.419,12.9005,32.2393,24.2748,6.5152e+01,2.7017,0.0003,6.7427,262.584,99.65967
16.633,12.8956,32.2471,24.2819,6.2293e+01,2.7124,0.0003,6.7277,262.523,99.632
16.853,12.8728,32.2588,24.2954,5.9634e+01,2.7268,0.0003,6.7244,262.847,99.7163
17.116,12.8526,32.2654,24.3043,5.7319e+01,2.7375,0.0003,6.7214,262.924,99.7087
17.391,12.7901,32.285,24.3317,5.4640e+01,2.7375,0.0003,6.7182,263.047,99.64098
17.601,12.7373,32.2959,24.3503,5.1948e+01,2.7375,0.0003,6.7177,262.818,99.4534
17.742,12.6918,32.2988,24.3614,5.0134e+01,2.5979,0.0003,6.722,262.235,99.14174
17.89,12.6663,32.2973,24.3651,4.9017e+01,2.3118,0.0002,6.719,261.371,98.76242
18.072,12.656,32.2952,24.3655,4.7824e+01,2.2241,0.0002,6.7153,260.477,98.40237
18.294,12.6468,32.2963,24.3681,4.6048e+01,1.88,0.0002,6.6936,260.214,98.28504
18.564,12.6335,32.2991,24.3729,4.3918e+01,1.8578,0.0002,6.6814,260.254,98.27494
18.827,12.6193,32.2994,24.3758,4.1857e+01,1.5885,0.0002,6.6283,260.428,98.31217
18.993,12.6062,32.3008,24.3794,4.0494e+01,1.5893,0.0002,6.6097,260.205,98.20247
19.121,12.5735,32.3067,24.3903,3.9584e+01,1.6595,0.0002,6.5787,259.169,97.74939
19.323,12.5307,32.2994,24.3927,3.8329e+01,1.6625,0.0002,6.5585,257.92,97.1873
19.602,12.4967,32.2978,24.3981,3.6749e+01,1.5817,0.0002,6.5505,256.865,96.72057
19.886,12.4379,32.3011,24.4118,3.5222e+01,1.5649,0.0002,6.5328,256.134,96.33002
20.099,12.3615,32.2998,24.4253,3.3859e+01,1.5992,0.0002,6.53,256.048,96.14477
20.237,12.3087,32.3003,24.4357,3.2947e+01,1.6137,0.0002,6.5248,256.123,96.06779
20.39,12.2444,32.2941,24.443,3.2257e+01,1.529,0.0002,6.5269,256.453,96.0589
20.587,12.1931,32.2947,24.4531,3.1383e+01,1.4672,0.0002,6.528,256.877,96.11565
20.788,12.0915,32.3004,24.4766,3.0392e+01,1.4008,0.0002,6.5237,257.265,96.06106
20.999,11.9654,32.2984,24.4985,2.9521e+01,1.3223,0.0003,6.5229,257.432,95.86953
21.254,11.7826,32.3131,24.5436,2.8574e+01,1.3299,0.0003,6.521,257.62,95.58301
21.518,11.5914,32.3097,24.5759,2.7502e+01,1.3467,0.0003,6.5099,257.767,95.25209
21.724,11.4627,32.2744,24.5718,2.6596e+01,1.3688,0.0003,6.5023,257.418,94.84194
21.909,11.4176,32.2516,24.5622,2.5788e+01,1.4558,0.0003,6.4961,256.282,94.31854
22.137,11.3571,32.2527,24.5739,2.4876e+01,1.4535,0.0003,6.4944,254.841,93.66905
22.425,11.2856,32.2393,24.5763,2.3841e+01,1.4314,0.0003,6.4895,253.38,92.98239
22.691,11.2511,32.2227,24.5696,2.2881e+01,1.4314,0.0003,6.4951,251.637,92.26463
22.902,11.2218,32.2213,24.5738,2.2072e+01,1.4314,0.0004,6.4993,249.595,91.45816
23.109,11.1274,32.2224,24.5913,2.1337e+01,1.4314,0.0004,6.5125,247.287,90.43192
23.343,11.066,32.2015,24.5859,2.0525e+01,1.2093,0.0004,6.5166,244.409,89.24993
23.562,10.9988,32.2032,24.5991,1.9708e+01,1.1636,0.0004,6.5255,241.746,88.15243
23.738,10.9537,32.1911,24.5975,1.9125e+01,1.0362,0.0004,6.5295,239.402,87.20659
23.915,10.9384,32.1854,24.5958,1.8589e+01,0.9812,0.0004,6.5331,237.258,86.394
24.116,10.9082,32.1931,24.6071,1.8001e+01,0.9751,0.0004,6.5384,235.322,85.63852
24.364,10.8688,32.1856,24.6081,1.7327e+01,0.9698,0.0004,6.5407,233.471,84.88908
24.65,10.8271,32.1986,24.6255,1.6465e+01,0.9057,0.0004,6.5451,231.798,84.21373
24.898,10.7389,32.2201,24.6575,1.5703e+01,0.8271,0.0005,6.546,230.844,83.72174
25.085,10.6894,32.2086,24.6571,1.5112e+01,0.7745,0.0005,6.5456,229.837,83.26182
25.242,10.6828,32.2047,24.6552,1.4675e+01,0.6669,0.0005,6.5474,228.499,82.76312
25.431,10.6669,32.2056,24.6586,1.4241e+01,0.6425,0.0005,6.5484,227.03,82.20366
25.701,10.6462,32.2074,24.6636,1.3685e+01,0.544,0.0004,6.5569,225.702,81.68783
26.004,10.6247,32.2052,24.6656,1.3028e+01,0.5448,0.0004,6.5551,224.737,81.29967
26.278,10.6189,32.2018,24.664,1.2416e+01,0.5563,0.0005,6.5519,224.185,81.08787
26.467,10.6158,32.2001,24.6632,1.1990e+01,0.5563,0.0005,6.551,223.759,80.92737
26.616,10.6146,32.1983,24.662,1.1726e+01,0.5097,0.0005,6.551,223.412,80.79893
26.806,10.6113,32.1986,24.6628,1.1455e+01,0.5074,0.0005,6.5532,222.995,80.64259
27.104,10.5803,32.2118,24.6784,1.1034e+01,0.4967,0.0005,6.5531,222.624,80.46259
27.425,10.5225,32.2277,24.7007,1.0489e+01,0.4945,0.0005,6.5517,222.475,80.31797
27.646,10.5027,32.2227,24.7001,1.0079e+01,0.4861,0.0006,6.5507,222.534,80.30218
27.791,10.4881,32.2176,24.6986,9.8506e+00,0.4822,0.0006,6.5498,222.584,80.29226
27.979,10.4658,32.2206,24.7048,9.5936e+00,0.4822,0.0006,6.5499,222.535,80.23804
28.222,10.444,32.2191,24.7073,9.2476e+00,0.483,0.0005,6.5515,222.494,80.18484
28.466,10.3987,32.2607,24.7475,8.8760e+00,0.4609,0.0005,6.5546,222.625,80.17762
28.689,10.3243,32.2609,24.7602,8.5223e+00,0.4334,0.0006,6.5559,222.947,80.16534
28.911,10.3081,32.2545,24.758,8.1795e+00,0.4334,0.0006,6.5563,222.818,80.08739
29.139,10.3041,32.2564,24.7601,7.8518e+00,0.4342,0.0005,6.562,222.456,79.95136
29.348,10.2795,32.2646,24.7706,7.5545e+00,0.4266,0.0005,6.5626,222.354,79.8771
29.52,10.2497,32.2637,24.7749,7.3255e+00,0.3968,0.0006,6.5625,222.486,79.87265
29.698,10.2214,32.2614,24.7779,7.1287e+00,0.3937,0.0006,6.5739,222.485,79.82241
29.916,10.1989,32.2591,24.7799,6.8989e+00,0.3602,0.0005,6.5818,222.095,79.64252
30.18,10.193,32.2521,24.7754,6.6396e+00,0.3602,0.0005,6.5632,221.705,79.48851
30.466,10.1894,32.2511,24.7753,6.3604e+00,0.348,0.0006,6.5617,221.582,79.4375
30.759,10.1829,32.2503,24.7757,6.0678e+00,0.3472,0.0006,6.5671,221.685,79.46317
30.999,10.1767,32.2492,24.7759,5.8248e+00,0.3266,0.0006,6.5694,221.889,79.52465
31.178,10.1593,32.2493,24.7789,5.6475e+00,0.3228,0.0006,6.5714,221.768,79.45158
31.371,10.152,32.2466,24.778,5.4717e+00,0.3403,0.0006,6.57,221.406,79.30791
31.593,10.1436,32.2461,24.779,5.2813e+00,0.3472,0.0006,6.5714,220.924,79.12072
31.818,10.114,32.254,24.7901,5.0793e+00,0.3472,0.0006,6.5775,220.716,78.99988
32.024,10.0785,32.248,24.7913,4.8910e+00,0.3472,0.0006,6.5847,220.633,78.9064
32.211,10.0689,32.2439,24.7897,4.7247e+00,0.3586,0.0006,6.5914,220.443,78.81961
32.403,10.0645,32.2424,24.7893,4.5632e+00,0.3724,0.0006,6.5862,220.175,78.71567
32.596,10.052,32.2443,24.7928,4.4166e+00,0.364,0.0006,6.5862,220.085,78.66302
32.814,10.0422,32.2415,24.7923,4.2600e+00,0.348,0.0006,6.595,220.074,78.64073
33.026,10.0341,32.2416,24.7937,4.1082e+00,0.3525,0.0006,6.5961,220.013,78.60529
33.19,10.0304,32.239,24.7923,3.9852e+00,0.3716,0.0006,6.5976,219.862,78.54377
33.376,10.029,32.2389,24.7925,3.8797e+00,0.3731,0.0006,6.6008,219.448,78.39349
33.664,10.0126,32.2425,24.798,3.7183e+00,0.3838,0.0006,6.6011,219.22,78.28607
33.934,10.0033,32.2412,24.7986,3.5403e+00,0.3838,0.0006,6.5932,218.983,78.18492
34.109,9.9957,32.2412,24.7998,3.4148e+00,0.3365,0.0006,6.5943,218.914,78.14743
34.27,9.9943,32.2391,24.7984,3.3217e+00,0.3358,0.0007,6.5967,218.763,78.09022
34.477,9.9935,32.2385,24.7981,3.2135e+00,0.335,0.0006,6.5969,218.541,78.00909
34.692,9.9911,32.2387,24.7986,3.0897e+00,0.335,0.0006,6.5964,218.44,77.96935
34.878,9.9877,32.2377,24.7984,2.9879e+00,0.335,0.0006,6.5973,218.441,77.96306
35.083,9.9846,32.2378,24.799,2.8998e+00,0.335,0.0006,6.5962,218.696,78.04915
35.346,9.9784,32.2381,24.8002,2.7796e+00,0.3426,0.0006,6.5935,218.779,78.0682
35.6,9.9704,32.2379,24.8014,2.6590e+00,0.348,0.0006,6.5945,218.852,78.08069
35.743,9.9662,32.2365,24.801,2.5854e+00,0.348,0.0006,6.595,218.775,78.04531
35.83,9.9664,32.2355,24.8002,2.5480e+00,0.348,0.0007,6.5996,218.639,77.9967
36.051,9.9641,32.2357,24.8007,2.4838e+00,0.3396,0.0006,6.5982,218.612,77.98305
36.424,9.9504,32.2409,24.8071,2.3531e+00,0.3236,0.0006,6.5939,218.401,77.88773
36.734,9.9413,32.2394,24.8074,2.2171e+00,0.3335,0.0006,6.5957,218.387,77.86649
36.868,9.9403,32.2393,24.8075,2.1471e+00,0.3724,0.0007,6.5965,218.477,77.89676
36.915,9.9397,32.2395,24.8077,2.1334e+00,0.3709,0.0007,6.5919,218.671,77.96521
37.086,9.9312,32.2412,24.8105,2.0888e+00,0.348,0.0006,6.5913,218.808,78.00059
37.345,9.924,32.2386,24.8096,1.9934e+00,0.348,0.0006,6.5889,218.863,78.00657
37.531,9.9141,32.241,24.8132,1.9100e+00,0.348,0.0006,6.5884,218.861,77.99045
37.628,9.9051,32.2387,24.8128,1.8616e+00,0.348,0.0006,6.5884,218.849,77.96981
37.775,9.8986,32.2381,24.8134,1.8221e+00,0.348,0.0006,6.5876,218.806,77.94285
38.001,9.8888,32.2371,24.8142,1.7475e+00,0.348,0.0006,6.586,218.798,77.92308
38.222,9.8801,32.2384,24.8167,1.6748e+00,0.409,0.0006,6.5798,218.842,77.92479
38.433,9.8664,32.2392,24.8196,1.6109e+00,0.4334,0.0006,6.5784,218.903,77.92365
38.626,9.8479,32.2375,24.8213,1.5572e+00,0.4342,0.0006,6.5773,219.055,77.94538
38.814,9.8388,32.2352,24.821,1.4976e+00,0.4342,0.0005,6.5633,219.191,77.9771
39.008,9.8337,32.2348,24.8215,1.4464e+00,0.4105,0.0005,6.5608,219.471,78.06766
39.23,9.8275,32.2349,24.8226,1.3877e+00,0.3846,0.0005,6.5646,219.482,78.0611
39.476,9.8177,32.2371,24.8259,1.3334e+00,0.3922,0.0005,6.5623,219.457,78.03707
39.704,9.8155,32.2346,24.8243,1.2846e+00,0.409,0.0005,6.5585,219.564,78.06997
39.914,9.815,32.2355,24.8251,1.2503e+00,0.425,0.0005,6.5426,219.591,78.07922
40.155,9.8132,32.2363,24.8261,1.2000e+00,0.483,0.0005,6.5369,219.781,78.1443
40.434,9.8114,32.2377,24.8274,1.1502e+00,0.4815,0.0005,6.5287,219.796,78.14723
40.695,9.8109,32.2379,24.8276,1.1019e+00,0.47,0.0005,6.5264,219.96,78.20464
40.915,9.8116,32.2391,24.8285,1.0634e+00,0.4708,0.0005,6.5219,220.26,78.31341
41.122,9.8256,32.236,24.8238,1.0328e+00,0.3998,0.0005,6.527,220.549,78.43813
41.331,9.8406,32.2457,24.8289,9.9999e-01,0.3968,0.0005,6.5286,220.63,78.49808
41.537,9.8402,32.2482,24.831,9.6550e-01,0.3762,0.0005,6.5232,220.784,78.55352
41.734,9.8424,32.2467,24.8294,9.3066e-01,0.3724,0.0005,6.5243,220.826,78.57124
41.94,9.8434,32.2487,24.8308,8.9643e-01,0.3899,0.0004,6.5262,220.942,78.61544
42.17,9.8535,32.2484,24.8289,8.5881e-01,0.3976,0.0004,6.5279,221.042,78.66811
42.414,9.8516,32.2542,24.8337,8.2310e-01,0.4266,0.0004,6.5288,220.912,78.62203
42.675,9.8545,32.2533,24.8326,7.8469e-01,0.4464,0.0004,6.5047,220.822,78.59443
42.901,9.8469,32.2556,24.8356,7.5938e-01,0.4349,0.0005,6.4993,220.825,78.58399
43.027,9.8394,32.2515,24.8337,7.3421e-01,0.422,0.0005,6.4864,221.103,78.66735
43.16,9.8209,32.2592,24.8427,7.2090e-01,0.4136,0.0005,6.4802,221.664,78.83995
43.418,9.7797,32.2599,24.85,6.9617e-01,0.3976,0.0004,6.4761,222.292,78.99279
43.743,9.7371,32.2631,24.8594,6.5961e-01,0.3861,0.0005,6.4797,222.878,79.12966
44.009,9.7157,32.2611,24.8613,6.2714e-01,0.348,0.0005,6.4815,223.256,79.22574
44.192,9.691,32.2615,24.8657,6.0451e-01,0.3457,0.0005,6.4878,223.514,79.27468
44.375,9.6723,32.2571,24.8652,5.8641e-01,0.3228,0.0005,6.49,223.758,79.3266
44.563,9.6668,32.2547,24.8643,5.6902e-01,0.3236,0.0005,6.4921,223.679,79.28747
44.735,9.6686,32.2526,24.8624,5.4968e-01,0.335,0.0005,6.4906,223.37,79.17999
44.925,9.676,32.2551,24.8631,5.3167e-01,0.3358,0.0005,6.4896,222.983,79.05701
45.17,9.6863,32.2543,24.8608,5.1546e-01,0.3358,0.0005,6.4876,222.672,78.96386
45.428,9.6995,32.2609,24.8638,4.9487e-01,0.3358,0.0005,6.4917,222.254,78.84222
45.63,9.7173,32.2647,24.8639,4.7910e-01,0.3533,0.0005,6.4959,221.711,78.68225
45.773,9.7246,32.2727,24.869,4.6365e-01,0.3602,0.0005,6.4962,221.298,78.55242
45.892,9.7273,32.2742,24.8697,4.5034e-01,0.3236,0.0004,6.495,220.948,78.43378
46.037,9.7316,32.2761,24.8705,4.4604e-01,0.2991,0.0004,6.4877,220.707,78.35678
46.266,9.7264,32.2813,24.8754,4.3306e-01,0.2869,0.0004,6.4841,220.561,78.29892
46.539,9.7116,32.2848,24.8806,4.0793e-01,0.274,0.0004,6.4799,220.512,78.25832
46.755,9.6923,32.2874,24.8857,3.9578e-01,0.2785,0.0004,6.4676,220.779,78.32146
46.926,9.6826,32.2834,24.8842,3.8265e-01,0.2862,0.0004,6.4621,221.259,78.473
47.11,9.6763,32.285,24.8864,3.7275e-01,0.2755,0.0004,6.4523,221.812,78.65909
47.327,9.6692,32.2836,24.8865,3.5888e-01,0.2373,0.0003,6.4501,222.504,78.89143
47.563,9.6592,32.2857,24.8898,3.4325e-01,0.2389,0.0003,6.4453,223.07,79.07609
47.799,9.654,32.2831,24.8886,3.3153e-01,0.2503,0.0004,6.4447,223.542,79.23299
48.005,9.6489,32.2841,24.8902,3.2049e-01,0.2495,0.0004,6.4444,223.915,79.35708
48.167,9.6413,32.286,24.8929,3.1713e-01,0.2618,0.0004,6.448,224.06,79.39658
48.337,9.6316,32.2887,24.8966,3.0477e-01,0.2625,0.0004,6.4478,224.16,79.41651
48.556,9.619,32.2898,24.8995,2.9325e-01,0.2099,0.0004,6.4473,224.055,79.35831
48.788,9.5993,32.2983,24.9093,2.8233e-01,0.2,0.0003,6.448,223.764,79.22592
49.006,9.5264,32.311,24.9309,2.7288e-01,0.245,0.0004,6.4484,223.933,79.16682
49.254,9.506,32.3024,24.9275,2.6379e-01,0.2625,0.0004,6.4458,223.869,79.104
49.571,9.501,32.301,24.9272,2.5070e-01,0.2328,0.0004,6.4466,223.735,79.04735
49.9,9.4999,32.3005,24.927,2.4204e-01,0.2129,0.0004,6.4474,223.674,79.0237
50.143,9.4983,32.3008,24.9275,2.2877e-01,0.2068,0.0004,6.448,223.436,78.93688
50.288,9.4964,32.301,24.928,2.1894e-01,0.2,0.0004,6.4488,223.227,78.85985
50.498,9.4922,32.3016,24.9291,2.1281e-01,0.1961,0.0004,6.449,222.892,78.73464
50.87,9.4854,32.3026,24.931,1.9892e-01,0.1877,0.0003,6.4479,222.701,78.65609
51.244,9.482,32.3018,24.9309,1.8724e-01,0.1877,0.0004,6.4437,222.574,78.60506
51.508,9.48,32.3025,24.9318,1.8007e-01,0.1877,0.0004,6.4444,222.612,78.61523
51.718,9.4756,32.303,24.9329,1.7209e-01,0.1923,0.0004,6.445,222.438,78.54645
52.006,9.4707,32.3036,24.9341,1.6779e-01,0.2373,0.0004,6.4528,222.149,78.43631
52.364,9.4668,32.3041,24.9352,1.5553e-01,0.2366,0.0004,6.4519,222.139,78.42647
52.716,9.457,32.3063,24.9385,1.4274e-01,0.2007,0.0004,6.4424,222.2,78.43246
53.025,9.4243,32.3203,24.9546,1.3531e-01,0.2,0.0004,6.4421,222.758,78.5812
53.372,9.377,32.3174,24.9599,1.3089e-01,0.2213,0.0004,6.4416,223.283,78.68321
53.815,9.3633,32.3138,24.9592,1.1572e-01,0.2251,0.0004,6.4414,223.515,78.7393
54.237,9.3412,32.3193,24.967,1.0531e-01,0.2076,0.0004,6.4416,223.697,78.76816
54.547,9.3204,32.3202,24.971,9.9765e-02,0.2,0.0004,6.4427,223.774,78.76007
54.833,9.2875,32.3286,24.9828,9.1388e-02,0.1923,0.0004,6.4457,223.735,78.69429
55.208,9.1858,32.349,25.0148,8.1708e-02,0.1877,0.0004,6.4488,223.875,78.57901
55.654,9.0865,32.3258,25.0122,6.6882e-02,0.1763,0.0004,6.4452,224.155,78.49256
56.055,9.0478,32.3224,25.0155,6.5628e-02,0.1633,0.0005,6.448,224.227,78.44895
