Depth (m),Temperature ( C),Salinity (PSU),Density (kg/m^3),PAR/Irradiance (uE/m^2/s,Fluorescence (mg/m^3),Turbidity (NTU),Beam (1/m),Oxygen (umol/kg),Oxygen (%sat)
0.806,15.0814,31.6229,23.3525,3.6635e+02,0.544,0.0003,6.8554,258.354,102.02475
0.823,15.0885,31.6244,23.3521,3.6926e+02,0.5402,0.0003,6.8542,258.013,101.90566
0.824,15.0871,31.6251,23.3529,4.4416e+02,0.5318,0.0003,6.8646,257.848,101.83794
0.813,15.0876,31.6288,23.3557,3.7733e+02,0.5349,0.0003,6.8571,257.832,101.83512
0.827,15.0854,31.6235,23.3521,3.9144e+02,0.5448,0.0003,6.8492,258.062,101.91782
0.817,15.0969,31.6248,23.3506,4.2113e+02,0.5448,0.0003,6.8644,258.264,102.02188
0.791,15.0981,31.6243,23.35,3.2412e+02,0.5448,0.0003,6.8681,258.518,102.12437
0.775,15.0994,31.6255,23.3506,4.3466e+02,0.5448,0.0003,6.8634,258.785,102.23335
0.8,15.0989,31.6267,23.3516,3.7004e+02,0.5448,0.0003,6.8603,259.073,102.3468
0.856,15.0896,31.6281,23.3547,3.6449e+02,0.5448,0.0003,6.8558,259.431,102.47044
0.882,15.0888,31.6263,23.3535,3.6187e+02,0.5547,0.0003,6.8625,259.441,102.47135
0.822,15.0897,31.6259,23.353,4.2350e+02,0.557,0.0003,6.865,259.359,102.44054
0.742,15.0899,31.6266,23.3535,5.9762e+02,0.5486,0.0003,6.8631,259.682,102.56904
0.769,15.0893,31.6269,23.3538,3.3068e+02,0.5448,0.0003,6.8677,259.823,102.62371
0.85,15.0932,31.6248,23.3514,3.7102e+02,0.5448,0.0003,6.8748,259.807,102.62362
0.853,15.0943,31.6276,23.3533,5.0744e+02,0.5448,0.0003,6.8684,259.362,102.45242
0.779,15.0921,31.6259,23.3525,4.4035e+02,0.5395,0.0003,6.865,258.471,102.09456
0.764,15.0887,31.6286,23.3553,3.3465e+02,0.5318,0.0003,6.8621,257.541,101.72228
0.891,15.0855,31.6272,23.3549,3.4251e+02,0.528,0.0003,6.8623,257.013,101.50638
0.986,15.0887,31.6256,23.353,3.4620e+02,0.5196,0.0003,6.8635,257.005,101.50852
1.019,15.0931,31.6254,23.3519,3.4523e+02,0.5196,0.0003,6.8615,256.957,101.49844
1.122,15.0979,31.6259,23.3512,3.2992e+02,0.5196,0.0003,6.8602,257.026,101.53536
1.321,15.0976,31.626,23.3514,9.1413e+02,0.5204,0.0003,6.8633,257.399,101.68218
1.469,15.1017,31.6249,23.3496,9.0295e+02,0.5318,0.0003,6.8621,258.016,101.93365
1.55,15.1031,31.626,23.3502,5.4919e+02,0.5318,0.0003,6.8572,258.766,102.23343
1.64,15.1017,31.6265,23.3509,2.7724e+02,0.5318,0.0003,6.8631,259.162,102.38749
1.8,15.0863,31.6327,23.359,2.7361e+02,0.5318,0.0003,6.8669,258.514,102.10473
1.986,15.0139,31.6509,23.3885,2.6998e+02,0.5524,0.0003,6.8654,258.226,101.85764
2.15,14.9949,31.6297,23.3763,2.5117e+02,0.5563,0.0003,6.8641,258.347,101.85212
2.298,15.0088,31.6316,23.3747,2.6176e+02,0.5921,0.0003,6.8605,258.393,101.89978
2.486,15.0242,31.6234,23.3651,2.5339e+02,0.6051,0.0003,6.8638,259.202,102.24417
2.725,14.9883,31.6435,23.3883,2.6222e+02,0.6127,0.0003,6.8659,260.057,102.52244
2.945,14.8679,31.6613,23.4276,3.0473e+02,0.6181,0.0003,6.8778,260.771,102.57156
3.114,14.859,31.6414,23.4142,2.9582e+02,0.647,0.0003,6.8811,260.48,102.42479
3.283,14.8358,31.6454,23.4222,3.6894e+02,0.6791,0.0003,6.8877,260.067,102.21782
3.498,14.8173,31.6474,23.4277,3.5438e+02,0.6837,0.0003,6.8864,259.386,101.91414
