Depth (m),Temperature ( C),Salinity (PSU),Density (kg/m^3),PAR/Irradiance (uE/m^2/s,Fluorescence (mg/m^3),Turbidity (NTU),Beam (1/m),Oxygen (umol/kg),Oxygen (%sat)
14.005,11.9914,31.8486,24.1445,4.0472e+01,3.2457,0.0005,6.8962,240.822,89.44814
14.248,11.9406,31.8576,24.1609,3.8053e+01,3.1053,0.0005,6.8962,241.749,89.7026
14.509,11.9101,31.8577,24.1666,3.5602e+01,2.7856,0.0006,6.8808,242.2,89.81269
14.724,11.897,31.8548,24.1668,3.3663e+01,2.5666,0.0006,6.8593,242.015,89.71766
14.889,11.896,31.8517,24.1645,3.2246e+01,2.4591,0.0005,6.8198,241.024,89.34618
15.084,11.8906,31.8495,24.1638,3.0911e+01,2.337,0.0005,6.7933,239.233,88.67132
15.348,11.8875,31.8471,24.1625,2.9283e+01,2.337,0.0005,6.7791,236.755,87.7454
15.638,11.8852,31.8461,24.1622,2.7395e+01,2.337,0.0005,6.7711,234.061,86.74237
15.846,11.8806,31.8464,24.1632,2.5806e+01,2.369,0.0005,6.7596,231.174,85.66428
15.981,11.8804,31.8416,24.1596,2.4876e+01,2.485,0.0005,6.7331,229,84.85532
16.132,11.8789,31.8445,24.1621,2.4048e+01,2.4697,0.0005,6.726,227.316,84.23041
16.349,11.8374,31.8585,24.1806,2.2990e+01,2.3118,0.0005,6.7214,226.361,83.81212
16.652,11.7784,31.8759,24.2049,2.1671e+01,2.3126,0.0005,6.7302,226.154,83.6422
16.953,11.7319,31.8717,24.2101,2.0230e+01,2.2645,0.0006,6.726,226.282,83.60526
17.188,11.7197,31.8698,24.2109,1.9058e+01,2.263,0.0006,6.7122,226.669,83.72582
17.371,11.6985,31.8743,24.2183,1.8345e+01,2.2416,0.0005,6.7042,226.862,83.76228
17.592,11.6819,31.8731,24.2203,1.7614e+01,2.2378,0.0005,6.6988,226.649,83.65377
17.875,11.6793,31.8697,24.2182,1.6661e+01,2.1325,0.0005,6.7014,226.243,83.49746
18.141,11.6765,31.8694,24.2185,1.5673e+01,2.0898,0.0004,6.6995,226.211,83.48045
18.351,11.678,31.8686,24.2176,1.4866e+01,2.1119,0.0005,6.6907,226.268,83.50362
18.549,11.6746,31.8699,24.2192,1.4208e+01,2.1272,0.0005,6.6865,225.904,83.3642
18.786,11.6643,31.87,24.2212,1.3483e+01,2.1157,0.0005,6.6818,224.926,82.98532
19.046,11.6582,31.8695,24.2219,1.2725e+01,2.1028,0.0004,6.6782,224.129,82.6802
19.265,11.6551,31.8708,24.2234,1.2071e+01,2.086,0.0005,6.6787,224.06,82.65004
19.446,11.6522,31.8712,24.2243,1.1600e+01,2.0532,0.0005,6.6856,224.495,82.8057
19.674,11.6444,31.8708,24.2254,1.1130e+01,2.0532,0.0005,6.6852,224.669,82.85599
19.97,11.6328,31.8736,24.2297,1.0522e+01,2.0539,0.0005,6.6842,224.341,82.71668
20.271,11.6215,31.8752,24.233,9.9067e+00,2.0509,0.0005,6.6767,223.686,82.45652
20.532,11.6163,31.8748,24.2336,9.3882e+00,2.0287,0.0005,6.6735,223.292,82.3023
20.756,11.6127,31.8751,24.2345,8.9600e+00,2.028,0.0005,6.668,223.119,82.23231
20.952,11.6077,31.8757,24.2358,8.6013e+00,1.9464,0.0005,6.6725,222.898,82.14239
21.165,11.5971,31.8797,24.2409,8.2613e+00,1.9418,0.0005,6.6798,222.863,82.1136
21.433,11.5319,31.9005,24.2688,7.8073e+00,1.9319,0.0005,6.6738,223.459,82.23218
21.699,11.5007,31.8966,24.2715,7.3320e+00,1.9296,0.0005,6.671,224.164,82.43508
21.884,11.4717,31.8968,24.2768,6.9743e+00,1.8945,0.0005,6.6591,224.793,82.61595
22.055,11.4422,31.9114,24.2935,6.7014e+00,1.88,0.0005,6.6602,225.146,82.70277
22.295,11.3654,31.9363,24.3265,6.3820e+00,1.8235,0.0005,6.6612,225.335,82.65268
22.575,11.2885,31.9594,24.3583,6.0236e+00,1.7808,0.0004,6.6614,225.235,82.49512
22.825,11.1674,31.9755,24.3923,5.6941e+00,1.6694,0.0005,6.6611,225.608,82.42925
23.077,11.1256,31.9684,24.3941,5.4337e+00,1.529,0.0005,6.6403,225.412,82.28067
23.388,11.0816,31.9779,24.4092,5.1424e+00,1.4787,0.0005,6.6351,225.002,82.05984
23.691,11.0687,31.9785,24.412,4.8604e+00,1.3711,0.0005,6.624,224.242,81.76067
23.961,11.0535,31.9802,24.416,4.6391e+00,1.3169,0.0005,6.6105,223.316,81.39748
24.233,11.012,32.0018,24.4401,4.4404e+00,1.0911,0.0004,6.6025,222.393,81.00191
24.518,10.8868,32.0267,24.4813,4.2364e+00,1.088,0.0004,6.5939,221.836,80.59809
24.787,10.8019,32.0314,24.4997,4.0517e+00,1.0423,0.0005,6.5896,221.343,80.27646
25.052,10.7924,32.0032,24.4794,3.8769e+00,1.0423,0.0005,6.5786,220.671,80.00042
25.317,10.776,32.0168,24.4928,3.7002e+00,0.9324,0.0005,6.568,219.825,79.67331
25.566,10.7521,32.0036,24.4867,3.5225e+00,0.9255,0.0005,6.5605,218.69,79.21418
25.78,10.7011,32.0407,24.5244,3.3731e+00,0.9255,0.0005,6.5582,217.533,78.72972
25.973,10.541,32.0537,24.5619,3.2563e+00,0.9255,0.0005,6.5561,217.394,78.41765
26.202,10.4483,32.0584,24.5813,3.1371e+00,0.8416,0.0004,6.5501,217.328,78.24044
26.5,10.4207,32.0414,24.5728,2.9863e+00,0.8027,0.0004,6.5473,216.812,77.99878
26.833,10.3924,32.0415,24.5776,2.8157e+00,0.7684,0.0005,6.5444,216.315,77.77249
27.144,10.3678,32.043,24.583,2.6575e+00,0.7417,0.0005,6.559,215.894,77.5812
27.419,10.3579,32.0394,24.5819,2.5318e+00,0.731,0.0006,6.5625,215.673,77.48323
27.678,10.3451,32.0365,24.5817,2.4149e+00,0.7172,0.0006,6.5656,215.248,77.30734
27.957,10.3394,32.0362,24.5825,2.3062e+00,0.7241,0.0006,6.5707,214.221,76.92917
28.251,10.3391,32.032,24.5793,2.1941e+00,0.7417,0.0006,6.5755,213.369,76.62007
28.543,10.3369,32.0335,24.5808,2.0804e+00,0.7348,0.0006,6.5827,212.423,76.27776
28.834,10.288,32.0535,24.6046,1.9715e+00,0.7043,0.0007,6.5842,211.691,75.94567
29.143,10.2576,32.048,24.6054,1.8699e+00,0.7043,0.0007,6.5833,210.839,75.58744
29.46,10.2482,32.045,24.6047,1.7618e+00,0.7043,0.0006,6.5905,210.212,75.34599
29.748,10.2341,32.05,24.6109,1.6720e+00,0.7043,0.0006,6.5999,209.974,75.24026
30.022,10.2202,32.0499,24.6132,1.5951e+00,0.6921,0.0007,6.5982,210.014,75.23218
30.311,10.2013,32.0541,24.6196,1.5207e+00,0.6913,0.0007,6.5983,210.137,75.2478
30.624,10.2001,32.0504,24.617,1.4275e+00,0.6226,0.0007,6.6088,210.107,75.23295
30.97,10.2008,32.0497,24.6163,1.3357e+00,0.6058,0.0007,6.6121,210.402,75.33941
31.287,10.2004,32.0491,24.6159,1.2591e+00,0.6226,0.0007,6.6169,210.983,75.54654
31.518,10.1999,32.0487,24.6157,1.2013e+00,0.6303,0.0007,6.6167,211.195,75.62126
31.723,10.2,32.0476,24.6148,1.1515e+00,0.6638,0.0007,6.6164,210.815,75.48483
32.012,10.1981,32.0478,24.6153,1.0904e+00,0.6921,0.0006,6.6118,209.69,75.07885
32.345,10.1944,32.0503,24.6179,1.0243e+00,0.6661,0.0006,6.6114,208.775,74.74697
32.675,10.1877,32.0502,24.6189,9.6569e-01,0.631,0.0006,6.6106,208.592,74.6706
32.983,10.1752,32.054,24.624,9.0484e-01,0.6196,0.0006,6.6118,208.919,74.7694
33.281,10.1698,32.053,24.6241,8.5898e-01,0.5936,0.0007,6.6128,209.343,74.91187
33.587,10.1664,32.0546,24.6259,8.0757e-01,0.5936,0.0007,6.6121,209.582,74.99281
33.899,10.1489,32.0579,24.6314,7.6662e-01,0.5944,0.0007,6.6109,209.907,75.08243
34.184,10.1217,32.0663,24.6425,7.3377e-01,0.5952,0.0007,6.6065,210.222,75.15551
34.48,10.1092,32.0637,24.6425,6.9242e-01,0.6188,0.0007,6.6087,210.474,75.2237
34.809,10.1108,32.0603,24.6396,6.5064e-01,0.6188,0.0007,6.6102,210.44,75.21223
35.137,10.1083,32.062,24.6414,6.1468e-01,0.6074,0.0008,6.6154,210.311,75.16296
35.416,10.1043,32.0626,24.6425,5.8021e-01,0.6066,0.0008,6.6171,210.548,75.24144
35.661,10.0917,32.068,24.6488,5.4764e-01,0.6158,0.0007,6.6203,210.712,75.28269
35.921,10.0879,32.0668,24.6485,5.1707e-01,0.6181,0.0007,6.619,210.398,75.16368
36.217,10.0827,32.0689,24.651,4.8939e-01,0.602,0.0007,6.618,210.06,75.03535
36.531,10.0796,32.0694,24.6519,4.6700e-01,0.5936,0.0006,6.6156,209.978,75.00156
36.838,10.0756,32.0704,24.6534,4.3056e-01,0.5677,0.0007,6.6152,210.154,75.05834
37.135,10.074,32.0703,24.6536,4.1202e-01,0.5448,0.0007,6.6169,210.36,75.12935
37.443,10.0723,32.0707,24.6542,3.8316e-01,0.5448,0.0007,6.613,210.176,75.06085
37.788,10.0621,32.075,24.6592,3.5459e-01,0.5448,0.0007,6.6074,209.925,74.9573
38.146,10.0343,32.0838,24.6707,3.3447e-01,0.5555,0.0007,6.6064,210.1,74.97899
38.462,9.9921,32.0948,24.6862,3.0767e-01,0.5814,0.0008,6.6072,210.728,75.14039
38.731,9.9665,32.0923,24.6885,2.8802e-01,0.5654,0.0008,6.615,211.289,75.29734
38.993,9.9657,32.0888,24.6859,2.7529e-01,0.4838,0.0008,6.6142,211.301,75.29859
39.264,9.9629,32.0895,24.6869,2.5493e-01,0.4845,0.0008,6.6142,210.8,75.11561
39.55,9.9604,32.089,24.6869,2.4163e-01,0.5082,0.0008,6.6202,209.983,74.82033
39.857,9.9574,32.0896,24.6879,2.2633e-01,0.5074,0.0008,6.6223,209.517,74.64977
40.173,9.9544,32.0894,24.6882,2.1059e-01,0.4853,0.0008,6.6223,209.545,74.65471
40.454,9.9581,32.0871,24.6859,1.9358e-01,0.483,0.0008,6.6253,209.61,74.68253
40.731,9.9593,32.0871,24.6857,1.8123e-01,0.454,0.0008,6.629,209.597,74.67979
41.048,9.9606,32.0863,24.6848,1.6705e-01,0.4464,0.0008,6.6348,209.696,74.71673
41.414,9.9525,32.0919,24.6906,1.5717e-01,0.512,0.0008,6.6368,210.038,74.8287
41.772,9.9187,32.1014,24.7035,1.4578e-01,0.5448,0.0008,6.6372,210.379,74.90018
42.092,9.9044,32.0967,24.7022,1.3381e-01,0.5044,0.0008,6.636,210.354,74.86557
42.374,9.8643,32.1182,24.7255,1.1446e-01,0.4708,0.0009,6.634,210.145,74.73792
42.637,9.7646,32.138,24.7572,1.0909e-01,0.4555,0.001,6.6393,210.278,74.63362
42.894,9.7513,32.1266,24.7505,1.0173e-01,0.4342,0.0011,6.642,210.348,74.63076
43.165,9.7258,32.1287,24.7563,9.3706e-02,0.4449,0.0011,6.6651,210.699,74.71487
43.484,9.7158,32.1272,24.7568,8.6419e-02,0.4716,0.0012,6.6788,210.93,74.77981
43.828,9.718,32.1204,24.7511,7.8307e-02,0.4693,0.0012,6.7126,210.941,74.7834
44.149,9.7213,32.1236,24.7531,6.9535e-02,0.4586,0.0013,6.7606,210.934,74.78829
44.435,9.6993,32.1315,24.7628,6.4271e-02,0.4571,0.0013,6.792,210.975,74.77128
44.714,9.6854,32.1296,24.7635,5.8197e-02,0.422,0.0014,6.8453,210.716,74.65567
45.01,9.6731,32.1311,24.7668,4.9616e-02,0.422,0.0014,6.8575,210.138,74.4319
45.29,9.6741,32.1279,24.7641,4.5135e-02,0.422,0.0014,6.8783,208.965,74.0162
45.508,9.6695,32.1293,24.7659,4.1925e-02,0.422,0.0014,6.8854,207.631,73.53713
45.639,9.6733,32.1263,24.7629,3.7258e-02,0.422,0.0013,6.8903,206.538,73.15435
45.707,9.6643,32.1311,24.7682,3.1893e-02,0.422,0.0013,6.9028,205.947,72.93323
45.798,9.6615,32.1248,24.7637,2.8590e-02,0.4052,0.0012,6.9059,205.843,72.88885
45.791,9.6732,32.1225,24.76,3.1489e-02,0.3976,0.0012,6.9128,206.081,72.99039
45.692,9.6842,32.1229,24.7585,3.2208e-02,0.4037,0.0011,6.9099,206.555,73.17619
45.616,9.6828,32.1231,24.759,3.7633e-02,0.409,0.0011,6.9065,207.158,73.38756
45.631,9.6861,32.1214,24.7571,3.6465e-02,0.4296,0.0011,6.9108,207.505,73.51477
45.685,9.6819,32.1266,24.7618,3.5007e-02,0.4586,0.0012,6.9116,207.383,73.46775
45.698,9.6641,32.1292,24.7667,3.3338e-02,0.451,0.0012,6.9098,207.281,73.4045
45.621,9.6701,32.1227,24.7607,3.2050e-02,0.4342,0.0012,6.9054,207.315,73.42272
45.516,9.6734,32.1239,24.7611,3.2230e-02,0.4342,0.0012,6.9006,207.619,73.53624
45.514,9.6765,32.1229,24.7598,3.5099e-02,0.4334,0.0011,6.9116,207.962,73.66236
45.593,9.6774,32.1222,24.7591,3.1781e-02,0.4365,0.0011,6.9141,208.114,73.71685
45.651,9.6807,32.1224,24.7587,3.4159e-02,0.4952,0.0011,6.9033,208.204,73.75423
45.668,9.677,32.1233,24.7601,3.6116e-02,0.4952,0.0011,6.9038,208.26,73.7689
45.676,9.6769,32.1223,24.7592,3.5122e-02,0.4151,0.0011,6.9048,208.197,73.74564
45.696,9.6788,32.1216,24.7584,3.5815e-02,0.409,0.0011,6.9019,207.857,73.62795
45.725,9.6796,32.1215,24.7582,3.9476e-02,0.3998,0.0011,6.9012,207.51,73.50637
45.735,9.6808,32.1208,24.7575,4.1321e-02,0.3968,0.0011,6.9075,207.146,73.37899
45.771,9.6872,32.1176,24.7539,4.0575e-02,0.4052,0.0011,6.9014,206.667,73.21752
45.853,9.6921,32.1187,24.754,3.5030e-02,0.409,0.0011,6.8906,206.379,73.12409
45.897,9.6942,32.1175,24.7527,3.5722e-02,0.4235,0.0011,6.8935,206.195,73.06144
45.876,9.6944,32.1187,24.7537,3.6628e-02,0.4342,0.0011,6.8948,206.397,73.13424
45.847,9.6897,32.1203,24.7557,3.3111e-02,0.4449,0.0011,6.8903,206.861,73.29199
45.852,9.69,32.1188,24.7544,3.8174e-02,0.4586,0.0011,6.8913,207.196,73.4102
45.909,9.6914,32.1184,24.7539,3.2253e-02,0.451,0.0011,6.892,207.367,73.47301
45.986,9.6914,32.1184,24.7539,3.6628e-02,0.4342,0.0011,6.8877,207.647,73.57223
46.01,9.6932,32.1175,24.7529,3.0975e-02,0.425,0.0011,6.8849,207.969,73.68856
45.953,9.6924,32.1184,24.7537,3.0175e-02,0.3846,0.0012,6.8838,208.446,73.85658
45.879,9.6931,32.1182,24.7535,2.6938e-02,0.3892,0.0012,6.8844,208.463,73.86393
45.866,9.6904,32.1195,24.7549,2.6593e-02,0.4708,0.0011,6.8856,208.013,73.70069
45.888,9.6867,32.1197,24.7557,2.7913e-02,0.4708,0.0011,6.8809,207.193,73.40436
45.874,9.6858,32.1188,24.7551,2.7197e-02,0.4937,0.0011,6.8772,206.751,73.24603
45.868,9.6883,32.1172,24.7534,2.6142e-02,0.4952,0.0011,6.8771,207.099,73.37221
45.912,9.6947,32.1153,24.7509,2.4079e-02,0.4456,0.0011,6.8762,207.641,73.57358
45.95,9.6945,32.1172,24.7524,2.6636e-02,0.4342,0.0011,6.8724,208.054,73.7205
45.944,9.6946,32.1161,24.7516,2.1430e-02,0.409,0.001,6.8742,208.311,73.8113
45.925,9.6948,32.1171,24.7523,3.0330e-02,0.3976,0.001,6.8761,208.105,73.7391
45.934,9.6937,32.1164,24.7519,2.8787e-02,0.4243,0.0011,6.8818,207.635,73.57034
45.949,9.6899,32.1185,24.7542,2.5585e-02,0.4464,0.0011,6.8814,207.283,73.44089
45.967,9.6885,32.1174,24.7536,2.7479e-02,0.4304,0.0011,6.8755,206.98,73.33056
45.99,9.6877,32.1184,24.7545,2.3448e-02,0.4098,0.0011,6.8721,206.971,73.32675
46.001,9.6859,32.1176,24.7542,3.2908e-02,0.4098,0.0011,6.8686,207.09,73.36549
46.027,9.6832,32.119,24.7557,2.9666e-02,0.4098,0.0011,6.8661,207.247,73.41768
46.102,9.6812,32.1191,24.7561,2.8918e-02,0.4098,0.0011,6.8657,207.19,73.39413
46.149,9.6828,32.1168,24.7541,2.4777e-02,0.4098,0.0011,6.8712,206.78,73.25028
46.116,9.6843,32.1172,24.7541,3.2568e-02,0.4098,0.0011,6.8744,206.562,73.17579
46.087,9.6911,32.1142,24.7506,2.1245e-02,0.4098,0.001,6.8787,206.652,73.21673
46.113,9.6919,32.1159,24.7519,2.5607e-02,0.4098,0.001,6.8738,206.801,73.27167
46.148,9.6892,32.1172,24.7533,2.4671e-02,0.4441,0.0011,6.8715,207.074,73.365
46.154,9.6904,32.1157,24.7519,2.8284e-02,0.4464,0.0011,6.87,207.046,73.35633
46.147,9.6907,32.1164,24.7524,3.1109e-02,0.4266,0.001,6.8723,206.766,73.2578
46.117,9.6895,32.1165,24.7527,2.9292e-02,0.422,0.001,6.8759,206.539,73.17539
46.111,9.6943,32.1133,24.7494,2.5842e-02,0.4555,0.001,6.8719,206.319,73.10348
46.161,9.6937,32.1165,24.752,2.6593e-02,0.4708,0.001,6.8699,206.112,73.03089
46.204,9.6957,32.113,24.749,2.2279e-02,0.4777,0.0011,6.8724,206.148,73.04484
46.195,9.703,32.1118,24.7469,2.4163e-02,0.4838,0.0011,6.875,206.51,73.1843
46.178,9.7078,32.1126,24.7467,2.5095e-02,0.4616,0.001,6.8796,206.939,73.34456
46.226,9.7058,32.1128,24.7472,2.1245e-02,0.4349,0.001,6.8708,207.189,73.42982
46.33,9.7048,32.1136,24.7479,2.2820e-02,0.4418,0.001,6.8655,207.446,73.51969
46.439,9.6964,32.116,24.7512,1.7537e-02,0.4586,0.001,6.8629,207.595,73.56052
46.529,9.697,32.1138,24.7494,1.7637e-02,0.4563,0.001,6.8635,207.938,73.68165
46.598,9.7008,32.113,24.7482,1.9022e-02,0.4456,0.001,6.8639,208.44,73.86522
46.659,9.6933,32.1163,24.752,1.6445e-02,0.4433,0.001,6.8539,208.435,73.85328
46.72,9.7051,32.1096,24.7448,1.5717e-02,0.3976,0.001,6.8472,207.867,73.66723
46.823,9.7004,32.1144,24.7493,1.3100e-02,0.3976,0.001,6.8498,207.112,73.39468
46.973,9.7066,32.1111,24.7457,1.2947e-02,0.4082,0.001,6.8485,206.467,73.17457
47.115,9.7025,32.1137,24.7484,6.9573e-03,0.4098,0.001,6.8434,205.916,72.97415
