Depth (m),Temperature ( C),Salinity (PSU),Density (kg/m^3),PAR/Irradiance (uE/m^2/s,Fluorescence (mg/m^3),Turbidity (NTU),Beam (1/m),Oxygen (umol/kg),Oxygen (%sat)
0.912,15.0175,31.5792,23.3325,1.8020e+03,0.9812,0.0004,7.1608,266.752,105.17624
0.968,15.0172,31.5798,23.3331,1.4482e+03,0.9919,0.0004,7.1659,266.418,105.04415
0.986,15.0212,31.5752,23.3287,1.6586e+03,0.9942,0.0004,7.1685,266.394,105.03986
0.926,15.0282,31.5767,23.3283,1.7539e+03,0.9843,0.0005,7.1696,267.328,105.42385
0.916,15.0271,31.5792,23.3304,1.5627e+03,0.9812,0.0005,7.1645,268.323,105.8158
0.98,15.0274,31.5783,23.3297,1.3578e+03,0.9888,0.0004,7.1625,268.394,105.84352
0.973,15.0282,31.5786,23.3297,1.6482e+03,0.9942,0.0004,7.1594,266.966,105.28221
0.93,15.0286,31.5778,23.329,1.5798e+03,0.969,0.0004,7.1618,264.98,104.49949
0.969,15.0313,31.578,23.3286,1.3671e+03,0.9454,0.0004,7.1641,264.657,104.37791
0.989,15.0317,31.5786,23.329,2.0179e+03,0.9545,0.0004,7.1627,265.717,104.79697
0.935,15.0305,31.5789,23.3295,1.3753e+03,0.969,0.0004,7.1614,267.14,105.35601
0.92,15.0314,31.5784,23.3289,1.6862e+03,0.9698,0.0004,7.1527,268.477,105.88486
0.957,15.033,31.5782,23.3284,1.6237e+03,0.969,0.0004,7.1487,268.479,105.88898
0.955,15.0321,31.5793,23.3295,1.7349e+03,0.9698,0.0004,7.1442,267.919,105.66699
0.954,15.0342,31.5783,23.3282,1.5333e+03,0.9698,0.0004,7.1509,267.75,105.60403
0.968,15.0335,31.5788,23.3288,1.6960e+03,0.9698,0.0004,7.1532,267.547,105.5227
0.947,15.0337,31.5787,23.3287,1.4116e+03,0.9698,0.0004,7.1571,267.316,105.43217
0.915,15.0334,31.5788,23.3288,1.4069e+03,0.9698,0.0004,7.1594,266.394,105.06782
0.932,15.0335,31.5787,23.3287,1.7182e+03,1.0011,0.0004,7.1625,265.408,104.67926
0.976,15.0171,31.5872,23.3388,1.6806e+03,1.0064,0.0004,7.1567,264.89,104.44715
0.963,15.0066,31.5735,23.3304,1.4885e+03,1.0156,0.0005,7.1545,264.85,104.39946
0.928,15.0276,31.5761,23.328,1.8014e+03,1.0186,0.0005,7.1513,265.819,104.82698
0.953,15.0105,31.5855,23.3389,1.5630e+03,1.0102,0.0005,7.1543,267.208,105.34597
1.041,14.991,31.5849,23.3426,1.4893e+03,1.0056,0.0005,7.1596,268.144,105.67378
1.104,14.9959,31.5762,23.3348,1.7787e+03,0.9812,0.0005,7.1596,268.337,105.7534
1.213,14.9922,31.5826,23.3405,1.2256e+03,0.9568,0.0005,7.1592,267.601,105.46069
1.367,14.9806,31.5757,23.3377,1.5619e+03,0.9705,0.0005,7.1717,266.96,105.17869
1.504,15.0281,31.5695,23.3228,1.2661e+03,0.9934,0.0004,7.1729,266.641,105.14723
1.601,15.0373,31.5824,23.3307,1.2840e+03,1.0026,0.0004,7.1743,267.119,105.3645
1.682,14.9885,31.5925,23.3489,1.4093e+03,1.03,0.0004,7.1741,267.699,105.49871
1.788,14.9498,31.5895,23.3549,1.5258e+03,1.0331,0.0004,7.1735,267.644,105.39367
1.907,14.9652,31.5721,23.3382,1.4768e+03,1.0545,0.0004,7.1664,267.164,105.22415
2.039,14.9659,31.5833,23.3467,1.0245e+03,1.0545,0.0004,7.167,265.988,104.77077
2.162,14.9706,31.5778,23.3415,1.2759e+03,1.0911,0.0004,7.168,265.649,104.64314
2.264,14.9121,31.5981,23.3696,8.8816e+02,1.0903,0.0004,7.1768,266.618,104.91727
2.358,14.9042,31.5884,23.3638,1.2254e+03,1.1544,0.0005,7.1825,267.906,105.40093
2.482,14.9046,31.5807,23.3578,9.1751e+02,1.1643,0.0005,7.1754,269.097,105.86429
2.633,14.9073,31.5813,23.3577,1.1118e+03,1.191,0.0005,7.1758,269.136,105.88583
2.795,14.8971,31.5861,23.3636,8.6173e+02,1.2009,0.0005,7.1804,268.158,105.4831
2.944,14.8842,31.5822,23.3633,8.9160e+02,1.2154,0.0005,7.1836,267.428,105.16611
3.083,14.8881,31.5811,23.3616,9.1557e+02,1.2254,0.0005,7.1868,267.253,105.10492
3.232,14.8839,31.5833,23.3642,8.5464e+02,1.2551,0.0005,7.1855,267.489,105.1907
3.399,14.8801,31.5882,23.3688,7.2926e+02,1.2856,0.0005,7.1849,267.91,105.35165
3.63,14.7402,31.6177,23.4212,8.3212e+02,1.3619,0.0005,7.1836,268.818,105.43639
3.897,14.6885,31.602,23.42,6.5009e+02,1.4924,0.0005,7.184,269.733,105.67508
4.106,14.6683,31.5956,23.4193,6.2709e+02,1.5427,0.0006,7.1841,270.847,106.06395
4.289,14.6617,31.5906,23.4168,6.1856e+02,1.6992,0.0006,7.2016,271.443,106.27959
4.516,14.6737,31.5863,23.411,6.5376e+02,1.719,0.0006,7.2063,271.361,106.26993
4.745,14.6007,31.6107,23.4452,5.1155e+02,1.8678,0.0006,7.2029,271.115,106.03697
4.97,14.5122,31.6139,23.4661,5.4438e+02,1.8678,0.0006,7.2106,270.781,105.72139
5.244,14.3899,31.6327,23.5061,5.0655e+02,2.0883,0.0007,7.2206,270.823,105.49334
5.539,14.212,31.653,23.5586,4.6533e+02,2.0898,0.0007,7.2272,271.571,105.42221
5.764,14.1653,31.6327,23.5526,4.0176e+02,2.5125,0.0006,7.2295,272.584,105.70111
5.942,14.1458,31.6324,23.5564,3.9490e+02,2.5788,0.0006,7.2369,273.438,105.99073
6.152,14.1018,31.6458,23.5758,4.0374e+02,3.1808,0.0006,7.2441,273.617,105.97622
6.418,14.0306,31.6576,23.5995,3.5079e+02,3.3952,0.0006,7.2563,273.546,105.80536
6.733,13.9674,31.6646,23.6178,3.1524e+02,3.6889,0.0007,7.26,274.195,105.9262
7.03,13.9234,31.6636,23.626,3.0159e+02,3.8751,0.0007,7.2615,274.93,106.11535
7.283,13.907,31.6757,23.6386,2.7069e+02,4.1993,0.0007,7.242,274.921,106.08546
7.494,13.9078,31.6889,23.6486,2.4614e+02,4.5442,0.0007,7.2377,274.665,105.99835
7.741,13.9126,31.6888,23.6477,2.3802e+02,4.6457,0.0007,7.2289,273.35,105.50076
8.035,13.9234,31.6922,23.648,2.1807e+02,4.8257,0.0007,7.2236,271.482,104.80525
8.335,13.9289,31.6946,23.6488,1.9861e+02,4.918,0.0007,7.2201,270.109,104.28842
8.59,13.9211,31.7108,23.6629,1.8353e+02,5.2179,0.0007,7.2178,268.86,103.80144
8.799,13.8659,31.7328,23.6911,1.6777e+02,5.182,0.0007,7.2163,268.399,103.52401
9.014,13.8302,31.7259,23.6931,1.5918e+02,4.8829,0.0006,7.2112,267.79,103.20948
9.284,13.8156,31.7219,23.6929,1.5137e+02,4.8837,0.0006,7.2127,266.789,102.79042
9.622,13.7868,31.7242,23.7005,1.3745e+02,4.9928,0.0006,7.2127,266.482,102.61419
9.956,13.745,31.739,23.7204,1.2428e+02,4.9959,0.0006,7.1924,266.965,102.72366
10.224,13.6787,31.7539,23.7453,1.1498e+02,5.0584,0.0006,7.1852,267.788,102.91263
10.452,13.5769,31.7549,23.7665,1.0750e+02,5.0699,0.0006,7.1696,268.51,102.97744
10.712,13.5394,31.7452,23.7665,1.0035e+02,4.9241,0.0006,7.1651,268.464,102.87457
11.022,13.4592,31.7559,23.7908,9.2898e+01,4.8715,0.0006,7.1616,268.359,102.67439
11.33,13.3103,31.7812,23.8399,8.4973e+01,4.8067,0.0006,7.155,268.249,102.33909
11.617,13.0394,31.7955,23.9042,7.7806e+01,4.7647,0.0007,7.1456,268.491,101.87521
11.887,12.9007,31.772,23.913,7.2189e+01,4.5083,0.0007,7.1122,267.936,101.35874
12.159,12.7746,31.7869,23.9488,6.7272e+01,4.2276,0.0007,7.1042,267.085,100.78538
12.466,12.7107,31.7704,23.9484,6.2020e+01,4.0132,0.0007,7.0959,265.919,100.20148
12.76,12.7112,31.7594,23.9397,5.6917e+01,3.618,0.0007,7.065,263.838,99.41068
12.925,12.7285,31.7593,23.9364,5.3611e+01,3.6088,0.0007,7.0491,261.501,98.56528
12.948,12.7296,31.7635,23.9394,5.2750e+01,3.5806,0.0006,6.9824,258.613,97.48178
12.974,12.7362,31.7492,23.9271,5.2500e+01,3.5943,0.0006,6.9855,254.838,96.06212
12.993,12.7559,31.7459,23.9208,5.2426e+01,3.7294,0.0006,6.9894,249.963,94.2606
13.099,12.7089,31.7812,23.9571,5.1457e+01,3.7278,0.0006,6.9596,245.052,92.34206
13.273,12.6066,31.7812,23.9766,4.9225e+01,3.7996,0.0006,6.9464,241.126,90.6708
13.454,12.4224,31.8286,24.0484,4.6940e+01,3.8011,0.0006,6.9116,239.023,89.56769
13.629,12.278,31.8198,24.0688,4.4706e+01,3.6348,0.0005,6.9054,238.389,89.05713
13.81,12.1347,31.8501,24.1191,4.2593e+01,3.6042,0.0005,6.8946,239.218,89.11933
