Depth (m),Temperature ( C),Salinity (PSU),Density (kg/m^3),PAR/Irradiance (uE/m^2/s,Fluorescence (mg/m^3),Turbidity (NTU),Beam (1/m),Oxygen (umol/kg),Oxygen (%sat)
15.428,13.2082,31.688,23.7881,9.1010e+00,2.5903,0.0015,7.1539,238.139,90.60347
15.614,13.2074,31.6837,23.7849,8.6090e+00,2.5003,0.0014,7.1642,238.148,90.60248
15.805,13.2066,31.6845,23.7857,8.1302e+00,2.485,0.0014,7.177,238.12,90.59121
15.989,13.2107,31.6816,23.7826,7.6970e+00,2.5086,0.0013,7.17,238.051,90.57059
16.164,13.1798,31.7033,23.8055,7.2865e+00,2.5178,0.0013,7.1681,238.29,90.61815
16.34,13.0874,31.711,23.8296,6.9260e+00,2.5399,0.0015,7.1794,238.446,90.51081
16.521,13.0921,31.6978,23.8184,6.5608e+00,2.5537,0.0017,7.1732,237.893,90.30093
16.709,13.108,31.6963,23.8142,6.2113e+00,2.5277,0.0016,7.1634,237.256,90.08788
16.901,13.1077,31.6949,23.8131,5.8843e+00,2.498,0.0015,7.1571,236.997,89.98799
17.089,13.1132,31.696,23.813,5.5624e+00,2.4888,0.0015,7.1542,237.506,90.19217
17.267,13.1241,31.6866,23.8036,5.2757e+00,2.4728,0.0013,7.1516,238.107,90.4347
17.434,13.1029,31.7044,23.8215,5.0187e+00,2.4697,0.0013,7.1521,237.994,90.36371
17.605,13.0864,31.6998,23.8212,4.7767e+00,2.4606,0.0014,7.1525,237.462,90.12829
17.802,13.0715,31.7041,23.8274,4.5111e+00,2.4629,0.0014,7.1554,236.855,89.87334
18.011,13.0594,31.704,23.8297,4.2409e+00,2.485,0.0014,7.1569,236.661,89.77687
18.206,13.0602,31.7013,23.8274,4.0089e+00,2.485,0.0014,7.1537,236.483,89.7092
18.366,13.0508,31.7046,23.8318,3.8188e+00,2.4964,0.0015,7.1543,236.097,89.54781
18.532,13.0453,31.7041,23.8325,3.6427e+00,2.4972,0.0015,7.1554,235.513,89.31585
18.715,13.0242,31.7107,23.8417,3.4501e+00,2.4247,0.0015,7.1517,234.988,89.08221
18.911,13.0208,31.7068,23.8394,3.2627e+00,2.411,0.0015,7.1497,234.562,88.91217
19.114,13.02,31.705,23.8382,3.0758e+00,2.411,0.0014,7.1564,234.372,88.83773
19.306,13.0237,31.7046,23.8372,2.9087e+00,2.4102,0.0013,7.1498,234.645,88.94767
19.476,13.0128,31.7089,23.8426,2.7580e+00,2.5018,0.0014,7.1262,235.292,89.17545
19.641,13.0183,31.7028,23.8368,2.6267e+00,2.5666,0.0014,7.137,235.871,89.40126
19.82,13.0344,31.6987,23.8305,2.4992e+00,2.5346,0.0015,7.1453,235.92,89.44664
20.016,13.0397,31.7026,23.8325,2.3656e+00,2.498,0.0016,7.1461,235.553,89.3199
20.213,13.0331,31.7021,23.8334,2.2220e+00,2.5041,0.0015,7.1461,235.548,89.30568
20.401,13.0351,31.702,23.8329,2.1108e+00,2.5178,0.0015,7.146,235.756,89.38783
20.58,13.0295,31.7094,23.8398,2.0071e+00,2.5353,0.0015,7.1486,236.008,89.47773
20.755,13.032,31.6944,23.8277,1.9002e+00,2.604,0.0015,7.1515,236.046,89.48766
20.935,13.0376,31.7107,23.8392,1.8127e+00,2.5895,0.0014,7.1557,235.631,89.35078
21.122,12.9869,31.7188,23.8553,1.7103e+00,2.4224,0.0013,7.1567,235.717,89.2954
21.308,12.9614,31.7165,23.8585,1.6184e+00,2.424,0.0013,7.1572,235.925,89.32585
21.489,12.9604,31.7116,23.8549,1.5425e+00,2.4232,0.0015,7.154,235.812,89.27839
21.668,12.9621,31.7124,23.8552,1.4562e+00,2.4232,0.0015,7.1504,235.549,89.18227
21.843,12.9642,31.7103,23.8531,1.3793e+00,2.443,0.0016,7.1505,235.364,89.11478
22.024,12.9653,31.7104,23.853,1.3112e+00,2.4476,0.0016,7.1531,235.544,89.18488
22.196,12.9655,31.7103,23.853,1.2444e+00,2.4652,0.0017,7.1761,235.684,89.23805
22.354,12.9644,31.7106,23.8534,1.1814e+00,2.472,0.0017,7.1795,235.64,89.21991
22.451,12.9639,31.7101,23.8531,1.1349e+00,2.4446,0.0016,7.1849,235.379,89.1199
22.459,12.9656,31.7095,23.8523,1.1302e+00,2.4232,0.0016,7.183,235.245,89.07156
22.464,12.9666,31.709,23.8517,1.1233e+00,2.4179,0.0014,7.1824,235.267,89.08161
22.467,12.9658,31.7099,23.8526,1.1246e+00,2.411,0.0012,7.1926,235.129,89.02857
22.466,12.9603,31.7113,23.8547,1.1285e+00,2.3835,0.0012,7.1893,234.627,88.82923
22.456,12.9577,31.7112,23.8552,1.1276e+00,2.324,0.0012,7.1827,233.99,88.58329
22.45,12.9568,31.7109,23.8551,1.1308e+00,2.3591,0.0012,7.1811,233.469,88.38413
22.461,12.9509,31.7119,23.857,1.1310e+00,2.5048,0.0014,7.1801,233.448,88.36607
22.477,12.9492,31.711,23.8567,1.1240e+00,2.5132,0.0014,7.1797,233.694,88.45543
